Effective Date 生效日期,No. of Constituents,Change 變動,Count 數目,Stock Code 股份代號,Listing Place 上市地點,Stock Name,股份名稱,Type
2019-09-09,110,Add 加入,2.0,788.0,Hong Kong 香港,CHINA TOWER,中國鐵塔,Large Cap
2019-09-09,179,Add 加入,24.0,6055.0,Hong Kong 香港,CTIHK,中煙香港,Small Cap
2019-09-09,179,Add 加入,24.0,3868.0,Hong Kong 香港,XINYI ENERGY,信義能源,Small Cap
2019-09-09,179,Add 加入,24.0,2038.0,Hong Kong 香港,FIH,富智康集團,Small Cap
2019-09-09,179,Add 加入,24.0,2019.0,Hong Kong 香港,DEXIN CHINA,德信中國,Small Cap
2019-09-09,179,Add 加入,24.0,2013.0,Hong Kong 香港,WEIMOB INC,微盟集團,Small Cap
2019-09-09,179,Add 加入,24.0,1908.0,Hong Kong 香港,C&D INTL GROUP,建發國際集團,Small Cap
2019-09-09,179,Add 加入,24.0,1907.0,Hong Kong 香港,CHINA RISUN GP,中國旭陽集團,Small Cap
2019-09-09,179,Add 加入,24.0,1905.0,Hong Kong 香港,HAITONG UT,海通恆信,Small Cap
2019-09-09,179,Add 加入,24.0,1890.0,Hong Kong 香港,CHINA KEPEI,中國科培,Small Cap
2019-09-09,179,Add 加入,24.0,1797.0,Hong Kong 香港,KOOLEARN,新東方在綫,Small Cap
2019-09-09,179,Add 加入,24.0,1787.0,Hong Kong 香港,SD GOLD,山東黃金,Small Cap
2019-09-09,179,Add 加入,24.0,1680.0,Hong Kong 香港,MACAU LEGEND,澳門勵駿,Small Cap
2019-09-09,179,Add 加入,24.0,1573.0,Hong Kong 香港,SOUTHERN ENERGY,南方能源,Small Cap
2019-09-09,179,Add 加入,24.0,1521.0,Hong Kong 香港,FRONTAGE,方達控股,Small Cap
2019-09-09,179,Add 加入,24.0,1515.0,Hong Kong 香港,CR MEDICAL,華潤醫療,Small Cap
2019-09-09,179,Add 加入,24.0,1117.0,Hong Kong 香港,CH MODERN D,現代牧業,Small Cap
2019-09-09,179,Add 加入,24.0,856.0,Hong Kong 香港,VSTECS,偉仕佳杰,Small Cap
2019-09-09,179,Add 加入,24.0,582.0,Hong Kong 香港,LANDING INTL,藍鼎國際,Small Cap
2019-09-09,179,Add 加入,24.0,511.0,Hong Kong 香港,TVB,電視廣播,Small Cap
2019-09-09,179,Add 加入,24.0,496.0,Hong Kong 香港,KASEN,卡森國際,Small Cap
