Effective Date 生效日期,No. of Constituents,Change 變動,Count 數目,Stock Code 股份代號,Listing Place 上市地點,Stock Name,股份名稱,Type,Status
9/9/2019,179,Add 加入,24,86,Hong Kong 香港,SUN HUNG KAI CO,新鴻基公司,Small Cap,0
9/9/2019,179,Add 加入,24,435,Hong Kong 香港,SUNLIGHT REIT,陽光房地產基金,Small Cap,0
9/9/2019,179,Add 加入,24,496,Hong Kong 香港,KASEN,卡森國際,Small Cap,0
9/9/2019,179,Add 加入,24,511,Hong Kong 香港,TVB,電視廣播,Small Cap,1
9/9/2019,191,Add 加入,11,551,Hong Kong 香港,YUE YUEN IND,裕元集團,Mid Cap,1
9/9/2019,179,Add 加入,24,582,Hong Kong 香港,LANDING INTL,藍鼎國際,Small Cap,1
9/9/2019,191,Add 加入,11,667,Hong Kong 香港,CHINA EAST EDU,中國東方教育,Mid Cap,1
9/9/2019,110,Add 加入,2,788,Hong Kong 香港,CHINA TOWER,中國鐵塔,Large Cap,1
9/9/2019,179,Add 加入,24,856,Hong Kong 香港,VSTECS,偉仕佳杰,Small Cap,0
9/9/2019,179,Add 加入,24,1117,Hong Kong 香港,CH MODERN D,現代牧業,Small Cap,0
9/9/2019,179,Add 加入,24,1515,Hong Kong 香港,CR MEDICAL,華潤醫療,Small Cap,1
9/9/2019,179,Add 加入,24,1521,Hong Kong 香港,FRONTAGE,方達控股,Small Cap,0
9/9/2019,179,Add 加入,24,1573,Hong Kong 香港,SOUTHERN ENERGY,南方能源,Small Cap,0
9/9/2019,191,Add 加入,11,1579,Hong Kong 香港,YIHAI INTL,頤海國際,Mid Cap,1
9/9/2019,179,Add 加入,24,1680,Hong Kong 香港,MACAU LEGEND,澳門勵駿,Small Cap,0
9/9/2019,191,Add 加入,11,1717,Hong Kong 香港,AUSNUTRIA,澳優,Mid Cap,1
9/9/2019,179,Add 加入,24,1787,Hong Kong 香港,SD GOLD,山東黃金,Small Cap,1
9/9/2019,179,Add 加入,24,1797,Hong Kong 香港,KOOLEARN,新東方在綫,Small Cap,0
9/9/2019,179,Add 加入,24,1890,Hong Kong 香港,CHINA KEPEI,中國科培,Small Cap,0
9/9/2019,179,Add 加入,24,1905,Hong Kong 香港,HAITONG UT,海通恆信,Small Cap,0
9/9/2019,179,Add 加入,24,1907,Hong Kong 香港,CHINA RISUN GP,中國旭陽集團,Small Cap,0
9/9/2019,179,Add 加入,24,1908,Hong Kong 香港,C&D INTL GROUP,建發國際集團,Small Cap,0
9/9/2019,191,Add 加入,11,1951,Hong Kong 香港,JXR,錦欣生殖,Mid Cap,0
9/9/2019,179,Add 加入,24,2013,Hong Kong 香港,WEIMOB INC,微盟集團,Small Cap,0
9/9/2019,179,Add 加入,24,2019,Hong Kong 香港,DEXIN CHINA,德信中國,Small Cap,0
9/9/2019,179,Add 加入,24,2038,Hong Kong 香港,FIH,富智康集團,Small Cap,1
9/9/2019,191,Add 加入,11,2689,Hong Kong 香港,ND PAPER,玖龍紙業,Mid Cap,1
9/9/2019,191,Add 加入,11,3301,Hong Kong 香港,RONSHINECHINA,融信中國,Mid Cap,1
9/9/2019,191,Add 加入,11,3311,Hong Kong 香港,CHINA STATE CON,中國建築國際,Mid Cap,1
9/9/2019,110,Add 加入,2,3692,Hong Kong 香港,HANSOH PHARMA,翰森製藥,Large Cap,0
9/9/2019,179,Add 加入,24,3868,Hong Kong 香港,XINYI ENERGY,信義能源,Small Cap,0
9/9/2019,179,Add 加入,24,3877,Hong Kong 香港,CSSC SHIPPING,中國船舶租賃,Small Cap,0
9/9/2019,191,Add 加入,11,3883,Hong Kong 香港,CHINA AOYUAN,中國奧園,Mid Cap,1
9/9/2019,191,Add 加入,11,3990,Hong Kong 香港,MIDEA REAL EST,美的置業,Mid Cap,0
9/9/2019,191,Add 加入,11,3998,Hong Kong 香港,BOSIDENG,波司登,Mid Cap,1
9/9/2019,179,Add 加入,24,6055,Hong Kong 香港,CTIHK,中煙香港,Small Cap,0
9/9/2019,179,Add 加入,24,6806,Hong Kong 香港,SWHY,申萬宏源,Small Cap,1
