,Sell 0 trading days after announcement,Sell 1 trading days after announcement,Sell 10 trading days after announcement,Sell 2 trading days after announcement,Sell 3 trading days after announcement,Sell 4 trading days after announcement,Sell 5 trading days after announcement,Sell 6 trading days after announcement,Sell 7 trading days after announcement,Sell 8 trading days after announcement,Sell 9 trading days after announcement
Buy 1 trading days before announcement,0.01574915912667662,0.021562192695119588,0.04300699793931711,0.02501329828232764,0.027802595250289257,0.032976337891658686,0.03386884819148045,0.03332571595290852,0.03789001882801457,0.03728814103640988,0.04205268785071154
Buy 10 trading days before announcement,0.050952461068601095,0.05256944745840032,0.06488900490541061,0.05413211348984774,0.05589627907748799,0.05973295843536137,0.058312068971066486,0.056874796210541485,0.06284129888520534,0.0618832062241853,0.062541490216912
Buy 2 trading days before announcement,0.02412188593725941,0.02751216149895744,0.04951732261131177,0.03069953640015699,0.034019790929770366,0.039422092951808534,0.04029541605457374,0.03932963714762964,0.04430849720994589,0.04304342787953255,0.048157350917109515
Buy 3 trading days before announcement,0.02772770681776602,0.03131500130874369,0.05217030647836066,0.034210766378041955,0.03713582612182262,0.04245360398358858,0.0432175391117429,0.04170681868816498,0.04650445205216092,0.04524518815489428,0.05048104321713363
Buy 4 trading days before announcement,0.03020898528743653,0.033666309699920356,0.052433336130664414,0.03687211580474717,0.03932621921411484,0.04420811788055579,0.04488098885298586,0.04307476098248381,0.04704523317022735,0.04638163589258947,0.05136365590851814
Buy 5 trading days before announcement,0.03363851263628537,0.036544753527246274,0.05418916040583859,0.03981118477368089,0.04202980706545266,0.04687370883755667,0.04735570336046934,0.04567999244708425,0.04961455565298693,0.048999981188336136,0.05435894009025401
Buy 6 trading days before announcement,0.040800527488776606,0.0439418271226631,0.060349355988488715,0.04718726605831258,0.048113568858575186,0.052482035588467105,0.05227971913372024,0.05025756661522554,0.054952638800815835,0.05420858229111664,0.05904212452971362
Buy 7 trading days before announcement,0.04636140743515487,0.04917789253993015,0.06515010491223924,0.05200713819009579,0.053036744839784024,0.057079241432888825,0.05706037512190797,0.05515533377823225,0.060280485831794774,0.05943416016017409,0.06374740320735216
Buy 8 trading days before announcement,0.04461576585757908,0.04740372069811808,0.06203412151254948,0.05012488844079256,0.05100496775894849,0.05522758885829552,0.05497417221712164,0.05352959983566117,0.058300303852267935,0.05767848165467556,0.06120281357209851
Buy 9 trading days before announcement,0.046330649116367036,0.048484980782911996,0.06217086998370346,0.05039992720133522,0.052295980112514406,0.056405019054882155,0.05610742504472541,0.05477129564496392,0.059735006744420116,0.059124794123499205,0.06128412373808874
