,Sell 0 trading days after announcement,Sell 1 trading days after announcement,Sell 10 trading days after announcement,Sell 2 trading days after announcement,Sell 3 trading days after announcement,Sell 4 trading days after announcement,Sell 5 trading days after announcement,Sell 6 trading days after announcement,Sell 7 trading days after announcement,Sell 8 trading days after announcement,Sell 9 trading days after announcement
Buy 1 trading days before announcement,0.015732387775010768,0.02235818290969242,0.03633295707237081,0.0244643838891263,0.022805574821271945,0.024259915816704208,0.02839096263447628,0.03156198014137439,0.03360697604071971,0.036064910915213404,0.04042933965274622
Buy 10 trading days before announcement,0.03583901778377458,0.039083824643813825,0.04990715493079844,0.03933198081269397,0.03687306474073201,0.0364051471822897,0.03927951229577075,0.04247506658287527,0.04494755429709464,0.04783991987553434,0.05211475247956773
Buy 2 trading days before announcement,0.020603656792065064,0.024474313630828904,0.03743086423606302,0.026177095943796535,0.02506686136501112,0.02753189164140385,0.03179246393456147,0.033692048348105616,0.036203795132467534,0.037502392330459024,0.042772942095931375
Buy 3 trading days before announcement,0.025952934677018164,0.029897624981016557,0.03934895945307354,0.03146228224095441,0.03004799172644551,0.03262106988931403,0.036410610662441056,0.0376014275342951,0.039858679544772777,0.041071478703045866,0.04622143545819542
Buy 4 trading days before announcement,0.02639355096370192,0.03053545002221828,0.03985097909600523,0.03232158868722357,0.030383997187834928,0.032060870408361676,0.03587511899489038,0.03705748474577221,0.038760257750379404,0.04063709367454669,0.04480003738922495
Buy 5 trading days before announcement,0.025991943073652074,0.029734699369113785,0.04073942619526535,0.03137762513672906,0.029282175665354074,0.030253720784377002,0.0336497565643715,0.035450376135600294,0.03737253972715994,0.03956461570112484,0.043701300252744844
Buy 6 trading days before announcement,0.028458974856930917,0.03217197854067301,0.041147090543959326,0.03359901722727439,0.03034594341322173,0.030590868215232433,0.03361119061823603,0.035268264896357746,0.03800614971976561,0.0401397728889199,0.0435488411004246
Buy 7 trading days before announcement,0.02942073870006437,0.032852833838034286,0.04193490622481161,0.0337116616373761,0.03039574970176399,0.02983389995124795,0.033088142536806996,0.03522385274217239,0.03842505053186034,0.04088332428631538,0.04436098776359402
Buy 8 trading days before announcement,0.03254228704717806,0.035889877893952586,0.04496364670893904,0.036853766609891425,0.03340659631333671,0.0328186187755489,0.035766868954360806,0.03841734112726451,0.041322324408820714,0.04382283114709642,0.0471738961942023
Buy 9 trading days before announcement,0.03332998259090198,0.0361618426315743,0.04584462525033845,0.03642151455278125,0.03367759494145676,0.03308146208035482,0.03588595052567472,0.03865719326425153,0.041599747292262686,0.04419134305355529,0.04838947709496584
