,Sell 0 trading days after announcement,Sell 1 trading days after announcement,Sell 2 trading days after announcement,Sell 3 trading days after announcement,Sell 4 trading days after announcement,Sell 5 trading days after announcement,Sell 6 trading days after announcement,Sell 7 trading days after announcement,Sell 8 trading days after announcement,Sell 9 trading days after announcement,Sell 10 trading days after announcement
Buy 1 trading days before announcement,0.0032556390977443624,0.001699248120300752,0.0046015037593985005,0.007436090225563916,0.00585714285714286,0.0007593984962406028,-0.0005037593984962407,0.005812030075187971,0.004075187969924812,0.0051811023622047245,0.012259615384615384
Buy 10 trading days before announcement,0.03846666666666668,0.03662499999999999,0.03895000000000001,0.04242500000000002,0.038775,0.03291666666666668,0.03172500000000001,0.041866666666666684,0.038733333333333314,0.03900877192982456,0.04559183673469389
Buy 2 trading days before announcement,0.009142857142857142,0.0074812030075188055,0.010338345864661652,0.013270676691729323,0.01155639097744361,0.0065488721804511305,0.005368421052631579,0.0117218045112782,0.009962406015037594,0.010763779527559055,0.020115384615384622
Buy 3 trading days before announcement,0.0027669172932330848,0.0011278195488721803,0.003917293233082707,0.0067669172932330835,0.005127819548872182,0.00015789473684210402,-0.0010075187969924818,0.005330827067669175,0.0034436090225563906,0.004551181102362204,0.013855769230769234
Buy 4 trading days before announcement,0.004924812030075191,0.00318045112781955,0.005917293233082711,0.008872180451127826,0.007187969924812035,0.0021503759398496243,0.0009172932330827069,0.0071127819548872165,0.00544360902255639,0.006062992125984254,0.012
Buy 5 trading days before announcement,0.01155639097744361,0.009751879699248124,0.012654135338345866,0.01554135338345864,0.013999999999999995,0.008781954887218045,0.007518796992481203,0.013616541353383457,0.011864661654135338,0.01319685039370079,0.016326923076923072
Buy 6 trading days before announcement,0.023894736842105257,0.02219548872180451,0.025248120300751895,0.028090225563909783,0.02636090225563909,0.020909774436090215,0.019503759398496245,0.025827067669172928,0.024045112781954887,0.02488976377952756,0.02875
Buy 7 trading days before announcement,0.031684210526315794,0.029924812030075194,0.03300751879699248,0.03586466165413534,0.034225563909774444,0.028706766917293236,0.027270676691729327,0.033789473684210536,0.03190977443609022,0.03275590551181103,0.038394230769230764
Buy 8 trading days before announcement,0.030999999999999996,0.029310606060606058,0.032196969696969696,0.035022727272727275,0.03349242424242424,0.02795454545454546,0.026401515151515162,0.03312121212121213,0.031280303030303026,0.03197619047619049,0.0357864077669903
Buy 9 trading days before announcement,0.02841984732824427,0.026687022900763368,0.029442748091603053,0.033091603053435115,0.031824427480916025,0.026854961832061076,0.02533587786259541,0.032198473282442755,0.03051145038167939,0.02981600000000001,0.03366019417475729
