,Sell 0 trading days after announcement,Sell 1 trading days after announcement,Sell 2 trading days after announcement,Sell 3 trading days after announcement,Sell 4 trading days after announcement,Sell 5 trading days after announcement,Sell 6 trading days after announcement,Sell 7 trading days after announcement,Sell 8 trading days after announcement,Sell 9 trading days after announcement,Sell 10 trading days after announcement
Buy 1 trading days before announcement,0.02538123087713556,0.03931689145870829,0.04165823063381064,0.04333298718686783,0.046091500376169214,0.05580976214920291,0.060372909846516505,0.06336990376090022,0.06610765142303081,0.06918005232756762,0.0626134690668749
Buy 10 trading days before announcement,0.07402304130645876,0.08043913743901518,0.0816724190508243,0.08052220973435961,0.07870970624480095,0.07974387396015867,0.08290421348426977,0.08612429295811383,0.08943414396326818,0.0914100453043827,0.08075466687030475
Buy 2 trading days before announcement,0.03489120381838528,0.04435234295744178,0.046094581160854714,0.04787833821252743,0.04876791256520203,0.06014407779171077,0.06455353353756095,0.06842772712244148,0.06987439011660306,0.07479383905245789,0.06500340658620747
Buy 3 trading days before announcement,0.03757979131694222,0.04706497982863927,0.04732336297778296,0.04901868648297132,0.04942217842436344,0.06179509666059165,0.0663132483952972,0.06936014070235275,0.07058204054490305,0.07649211066917733,0.06846520174430203
Buy 4 trading days before announcement,0.04154909911508318,0.048644790836763985,0.04930794470265138,0.050995307795711105,0.05189239308647765,0.06245501365717731,0.0662768579192482,0.0673980323127192,0.07031158074511114,0.07392818781006938,0.06946718160677277
Buy 5 trading days before announcement,0.044489599318069194,0.049008720005642645,0.05169843282203313,0.0534146886049197,0.05522707943600045,0.0646718216875935,0.0674773364313911,0.06723643513125353,0.06951844991154761,0.07307541650882161,0.07028878603922402
Buy 6 trading days before announcement,0.0543446162979753,0.059979094672027264,0.06400348073099141,0.06369903888797511,0.06373742755953551,0.06865509522756714,0.07087340656753507,0.07221427619268413,0.07422538002818238,0.0764733824786215,0.07247212386748492
Buy 7 trading days before announcement,0.06320461821698904,0.06783867048396941,0.07144360949013433,0.07157574732671029,0.07221197925272692,0.07652270231123207,0.07780698027223569,0.08094461748923437,0.08187106073305021,0.08493374789980991,0.0779309400861013
Buy 8 trading days before announcement,0.06418710721651531,0.0693375560612423,0.07246967666927108,0.07184349677699735,0.07245525033390207,0.0753534028607373,0.07797629898753633,0.080981387957148,0.08266406904670162,0.08415532917511183,0.07831017394216222
Buy 9 trading days before announcement,0.0661264469608705,0.07115487809316604,0.07216329349312237,0.07123055204288065,0.07180341548722621,0.07606172818455817,0.07911263739242276,0.08220269692818229,0.08489000724124528,0.08864148377120776,0.07856589009383422
