,Sell 0 trading days after announcement,Sell 1 trading days after announcement,Sell 2 trading days after announcement,Sell 3 trading days after announcement,Sell 4 trading days after announcement,Sell 5 trading days after announcement,Sell 6 trading days after announcement,Sell 7 trading days after announcement,Sell 8 trading days after announcement,Sell 9 trading days after announcement,Sell 10 trading days after announcement
Buy 1 trading days before announcement,-0.0015853658536585367,-0.005097560975609756,-0.004463414634146341,0.0026097560975609758,0.016536585365853656,0.020146341463414638,0.010365853658536586,0.006658536585365854,-0.00014634146341463224,5.000000000000178e-05,0.009666666666666667
Buy 10 trading days before announcement,0.0066388888888888895,0.0007777777777777753,0.001694444444444442,0.008722222222222223,0.024277777777777777,0.025916666666666668,0.014222222222222223,0.011083333333333334,0.0038611111111111077,-0.0018000000000000017,0.011679999999999998
Buy 2 trading days before announcement,0.007975609756097565,0.004097560975609756,0.005,0.01231707317073171,0.02670731707317073,0.030390243902439024,0.020243902439024394,0.01673170731707317,0.009707317073170732,0.010024999999999996,0.022633333333333328
Buy 3 trading days before announcement,0.008463414634146346,0.00475609756097561,0.0057560975609756105,0.01304878048780488,0.027682926829268293,0.03119512195121951,0.020878048780487806,0.017414634146341465,0.010365853658536586,0.010799999999999999,0.029899999999999996
Buy 4 trading days before announcement,0.007512195121951224,0.0038292682926829255,0.005,0.012000000000000005,0.026439024390243905,0.030146341463414633,0.01985365853658537,0.01602439024390244,0.009170731707317076,0.010600000000000002,0.028233333333333343
Buy 5 trading days before announcement,0.006878048780487803,0.0031707317073170734,0.004243902439024389,0.011243902439024397,0.025365853658536587,0.029243902439024385,0.019121951219512205,0.015463414634146345,0.00851219512195122,0.010024999999999996,0.0226
Buy 6 trading days before announcement,0.008390243902439023,0.004878048780487804,0.005951219512195119,0.012658536585365846,0.02682926829268293,0.030536585365853665,0.020439024390243903,0.016829268292682924,0.01,0.012074999999999997,0.0257
Buy 7 trading days before announcement,0.009658536585365854,0.006121951219512198,0.007146341463414635,0.013829268292682929,0.02817073170731708,0.0317560975609756,0.02178048780487805,0.018170731707317072,0.011243902439024392,0.011825000000000004,0.024833333333333336
Buy 8 trading days before announcement,-0.0004390243902439022,-0.0037804878048780474,-0.0027560975609756113,0.003853658536585367,0.018048780487804877,0.021609756097560977,0.011634146341463413,0.008000000000000002,0.0012439024390243907,0.0015499999999999989,0.014066666666666668
Buy 9 trading days before announcement,0.003390243902439024,-0.0001951219512195117,0.0007073170731707323,0.007707317073170732,0.021951219512195117,0.02531707317073171,0.01531707317073171,0.011804878048780488,0.0048292682926829285,0.0018749999999999986,0.012033333333333337
