,Sell 0 trading days after announcement,Sell 1 trading days after announcement,Sell 2 trading days after announcement,Sell 3 trading days after announcement,Sell 4 trading days after announcement,Sell 5 trading days after announcement,Sell 6 trading days after announcement,Sell 7 trading days after announcement,Sell 8 trading days after announcement,Sell 9 trading days after announcement,Sell 10 trading days after announcement
Buy 1 trading days before announcement,0.024704225964150443,0.03491332473286437,0.03991684955064441,0.040613961915073306,0.050533205697331135,0.05705898744966027,0.05076601033051592,0.060466771766027654,0.054141740356036645,0.0665135228201658,0.06424432530063129
Buy 10 trading days before announcement,0.07308083695578979,0.07699874251704603,0.08143422216539273,0.08241310960593973,0.0936521256294839,0.09513250158144093,0.08830826239004595,0.09668546204796546,0.0887008303320059,0.09113267638933005,0.09968438527004453
Buy 2 trading days before announcement,0.04812301310437556,0.048898264221774165,0.05547521969312064,0.05840053040186804,0.07199973746564602,0.07717087470308358,0.06915915719838006,0.07945313851266161,0.07036200817999692,0.08364040475567,0.07829408897111004
Buy 3 trading days before announcement,0.05998378846028967,0.06223655697731233,0.0689437381086219,0.07011595796233272,0.0846700770710616,0.0888808808215229,0.0791458132569093,0.08832297991172967,0.07921134896514545,0.0909125248768682,0.08065736385989557
Buy 4 trading days before announcement,0.05749918345125411,0.06298289547132,0.07051631017005924,0.06933541663536752,0.07991371871602768,0.08699412651886612,0.07693846923860968,0.08348068273704942,0.07650650378857488,0.0871764494191713,0.07512595553736602
Buy 5 trading days before announcement,0.05303498615157319,0.05998287357197236,0.06595217224921592,0.0626525260814777,0.073102242133043,0.0812710835684516,0.07261824671594297,0.08042515078039195,0.07428025375266953,0.08497887746601866,0.08110937698245967
Buy 6 trading days before announcement,0.06005534033238863,0.06822689906552665,0.07395774172441727,0.06716978850498843,0.07769070164409136,0.08418880494489027,0.07590686687661657,0.08399372072929749,0.07809737511594099,0.08695368277835017,0.08426155911699941
Buy 7 trading days before announcement,0.05921512043224161,0.06721688594466098,0.07258083802754338,0.06736204511407903,0.07658652049774307,0.08354872245815759,0.07624943022578003,0.08451594596258874,0.07852604042220801,0.08742524645632242,0.08650058135476688
Buy 8 trading days before announcement,0.06394882672124946,0.07281878610465913,0.07783501155900373,0.07211642010513616,0.08211058129727014,0.0878077098120605,0.0804449364775562,0.08822669663996266,0.08231761065768518,0.09058271471493998,0.09219878574012795
Buy 9 trading days before announcement,0.06430508457687482,0.07026742471166676,0.07449236333425024,0.07360137359534774,0.0834978895600099,0.08609484276784245,0.07934842122701316,0.08706699130904752,0.08021156476438557,0.08610613233470091,0.09106098120957502
