,Sell 0 trading days after announcement,Sell 1 trading days after announcement,Sell 2 trading days after announcement,Sell 3 trading days after announcement,Sell 4 trading days after announcement,Sell 5 trading days after announcement,Sell 6 trading days after announcement,Sell 7 trading days after announcement,Sell 8 trading days after announcement,Sell 9 trading days after announcement,Sell 10 trading days after announcement
Buy 1 trading days before announcement,0.031384319789818434,0.04494078558744737,0.05196600234324331,0.05339744860731086,0.0639640749540654,0.06669854748880559,0.07213489252821317,0.07669648423884594,0.08314352971192715,0.09291597836789622,0.08610682383500183
Buy 10 trading days before announcement,0.08847403433034721,0.09610693306979302,0.09602192351535513,0.09134207976626522,0.09787764515531003,0.10224739477692783,0.10716922386440712,0.11678332023027388,0.12486064658841442,0.131620649906189,0.13170954338572494
Buy 2 trading days before announcement,0.04247598539630132,0.05292504186648439,0.05825939995175898,0.05953513191334463,0.06985365899450105,0.07274822960427027,0.07687750750069237,0.08262627078522895,0.08871339650959827,0.09959157265950132,0.09242810945208779
Buy 3 trading days before announcement,0.04929521094626435,0.060230292702143674,0.06438170609566918,0.06437798252683755,0.07373828937643924,0.07714325468807502,0.080543372895401,0.0867529776906264,0.09349738447093033,0.10412172363792933,0.09769974277000594
Buy 4 trading days before announcement,0.053720551328658994,0.0646274305099301,0.06953734761013342,0.06880290863504666,0.07789897355837042,0.08008139550552937,0.08329161659694395,0.08833652596973529,0.09606675669441887,0.10529731183339586,0.09999189449270446
Buy 5 trading days before announcement,0.058730963550347,0.06749723713889126,0.07232900324244904,0.0718473085656944,0.08032956768449977,0.08149498683780709,0.08502193543314578,0.0896648241573859,0.09727173690856479,0.10761610639950303,0.10149562154713959
Buy 6 trading days before announcement,0.07143849188650205,0.08026542556862942,0.08418700746991027,0.08016795744629372,0.08736160764667804,0.08904709712545113,0.09120517987722963,0.09904565119595382,0.10580953932135088,0.11452024876772976,0.1138891152469015
Buy 7 trading days before announcement,0.08538695790294851,0.09338187445247893,0.09481840308341107,0.08960213223091336,0.09562256737804396,0.09931895708984545,0.10255712023073865,0.11192865532520364,0.11881906054485508,0.12641409857089675,0.12970268081165065
Buy 8 trading days before announcement,0.08227670166247358,0.0898667225876773,0.09163090831588729,0.08696014905867665,0.09302062740454356,0.09709816630775817,0.10126659755403075,0.10938968438969798,0.11660777424383179,0.12373616954168247,0.12569516616371956
Buy 9 trading days before announcement,0.0843820066401843,0.09184772871941987,0.09207174787576046,0.08862137049665812,0.09396220158210716,0.09866302576687215,0.10280329338341992,0.1118693284089711,0.11896730121302285,0.1266496829078299,0.12820749421518152
