,Sell 0 trading days after announcement,Sell 1 trading days after announcement,Sell 2 trading days after announcement,Sell 3 trading days after announcement,Sell 4 trading days after announcement,Sell 5 trading days after announcement,Sell 6 trading days after announcement,Sell 7 trading days after announcement,Sell 8 trading days after announcement,Sell 9 trading days after announcement,Sell 10 trading days after announcement
Buy 1 trading days before announcement,-0.006057692307692304,-0.011072115384615378,-0.009932692307692306,-0.006802884615384614,-0.003918269230769231,-0.0079423076923077,-0.010009615384615386,-0.008309178743961351,-0.009371980676328497,-0.007924623115577886,-0.0030833333333333303
Buy 10 trading days before announcement,0.003037433155080214,-0.0033529411764705815,-0.002770053475935828,0.0005614973262032095,0.0028502673796791398,-0.0015882352941176442,-0.004133689839572194,-0.00018716577540106642,-0.001983957219251332,-0.0033128491620111732,-0.004007633587786256
Buy 2 trading days before announcement,-0.0015913461538461541,-0.00675,-0.0055769230769230765,-0.00231730769230769,0.0007355769230769239,-0.0033173076923076984,-0.0055528846153846175,-0.003792270531400969,-0.004942028985507243,-0.003954773869346738,0.000798611111111111
Buy 3 trading days before announcement,-0.002139423076923076,-0.007120192307692307,-0.005889423076923078,-0.002557692307692305,0.0005432692307692354,-0.0034230769230769245,-0.0059230769230769285,-0.004193236714975847,-0.005458937198067632,-0.004482412060301507,0.0014722222222222211
Buy 4 trading days before announcement,-0.001254807692307692,-0.006322115384615385,-0.005,-0.0016201923076923075,0.0014855769230769232,-0.0024423076923076876,-0.004942307692307689,-0.003309178743961352,-0.004521739130434785,-0.0035778894472361785,-0.0016805555555555551
Buy 5 trading days before announcement,0.0014423076923076926,-0.0037259615384615365,-0.0023509615384615374,0.0010769230769230782,0.00416346153846154,0.00025961538461538364,-0.002197115384615385,-0.0006618357487922739,-0.0018888888888888879,-0.00047738693467336784,-0.002805555555555559
Buy 6 trading days before announcement,0.0027211538461538462,-0.002336538461538462,-0.0009278846153846175,0.002504807692307694,0.005615384615384614,0.001706730769230769,-0.0008221153846153822,0.0007004830917874399,-0.0004734299516908204,0.00019095477386934907,-0.0006319444444444458
Buy 7 trading days before announcement,0.005586538461538462,0.0004230769230769218,0.0018557692307692307,0.00537980769230769,0.008423076923076924,0.004528846153846153,0.0020288461538461536,0.003531400966183574,0.002154589371980676,0.002316582914572865,-0.0006319444444444448
Buy 8 trading days before announcement,0.0028124999999999986,-0.00228846153846154,-0.0009663461538461551,0.002567307692307693,0.005538461538461538,0.0016057692307692298,-0.0007596153846153847,0.0006328502415458957,-0.0006956521739130421,-0.0010201005025125595,-0.004729166666666666
Buy 9 trading days before announcement,0.001792270531400964,-0.0032560386473429923,-0.001917874396135268,0.0016811594202898563,0.0047149758454106275,0.0008067632850241563,-0.0015362318840579654,9.661835748793755e-06,-0.0013671497584541096,-0.0031306532663316596,-0.006555555555555559
