,Sell 0 trading days after announcement,Sell 1 trading days after announcement,Sell 2 trading days after announcement,Sell 3 trading days after announcement,Sell 4 trading days after announcement,Sell 5 trading days after announcement,Sell 6 trading days after announcement,Sell 7 trading days after announcement,Sell 8 trading days after announcement,Sell 9 trading days after announcement,Sell 10 trading days after announcement
Buy 1 trading days before announcement,0.028222486297508956,0.038426912762919645,0.043503182053214316,0.04548147779653461,0.055005472304702534,0.06347418767443204,0.06352107873241462,0.06827045774548882,0.06972909985397938,0.07909538639020501,0.08445750369309961
Buy 10 trading days before announcement,0.08155335801871419,0.08599445799479814,0.09030102323511598,0.09756101048901882,0.1021239971453276,0.1113659880830219,0.10969164154339169,0.11186936624122937,0.10817143283247391,0.10740306527039682,0.11992494423168353
Buy 2 trading days before announcement,0.03942743989325967,0.04516298984980858,0.05026686124355766,0.05477053836607505,0.06469080890786166,0.07231476612338414,0.06989596887567083,0.07476987567795826,0.07429504629920555,0.08420347508858565,0.09014119304386968
Buy 3 trading days before announcement,0.047976592356672294,0.05457910959174376,0.06004718180046113,0.06491753623321557,0.07445212482982577,0.08216887198236299,0.07718935776909695,0.08193527727892173,0.0807054274761474,0.08913942343494377,0.09547232194706622
Buy 4 trading days before announcement,0.05082429214880035,0.056308219179746315,0.06340004114660577,0.06930089107179273,0.07837750702462423,0.08683020544847116,0.08123828217821441,0.08441478188551207,0.08343108464079434,0.09029565754387445,0.10039869143393874
Buy 5 trading days before announcement,0.05557131066082456,0.05908715334057169,0.0667725022161898,0.07265512370861966,0.0810979142886519,0.09090394093297632,0.08608648943438442,0.08794907861725088,0.08662317803585415,0.09297804802941191,0.10708837457408703
Buy 6 trading days before announcement,0.05969964382689686,0.06416782202263803,0.07245354727946678,0.07787255769829907,0.08628358005606263,0.09590215199050678,0.0899487889263661,0.09195786893985562,0.09086620923052689,0.09569555956151195,0.11170952257509174
Buy 7 trading days before announcement,0.06914238066062524,0.07264322082972229,0.07919424151578507,0.08579964852445117,0.0920296835444344,0.101286216804678,0.09721378967517948,0.09801910715985997,0.09528549470239464,0.0996530611793033,0.11223662232977655
Buy 8 trading days before announcement,0.07270566987771417,0.07641770200830694,0.08210282125531679,0.08830226573412069,0.09370345072522644,0.10227630646980708,0.09906621951566902,0.10008001887369437,0.09754346370260658,0.10044873861268111,0.11380275039076825
Buy 9 trading days before announcement,0.07641779858099348,0.08046495437928636,0.08570760872593594,0.09259256603035751,0.09877286348508436,0.10795091186049177,0.10564360029277568,0.10706680567323171,0.10404265594182475,0.10436621137050876,0.11479210626705853
