,Sell 0 trading days after announcement,Sell 1 trading days after announcement,Sell 2 trading days after announcement,Sell 3 trading days after announcement,Sell 4 trading days after announcement,Sell 5 trading days after announcement,Sell 6 trading days after announcement,Sell 7 trading days after announcement,Sell 8 trading days after announcement,Sell 9 trading days after announcement,Sell 10 trading days after announcement
Buy 1 trading days before announcement,0.001085664335664335,0.002361888111888111,0.005377622377622371,0.0018793706293706285,0.0037460595446584945,0.0006935201401050765,-0.0013345008756567404,0.002099824868651488,0.0034588441330998237,0.007073308270676691,0.011125925925925933
Buy 10 trading days before announcement,0.03684848484848486,0.0393806818181818,0.04327083333333341,0.038941287878787915,0.04023674242424242,0.037028409090909084,0.03434848484848483,0.0380852272727273,0.04018560606060608,0.04407770961145193,0.04673834196891192
Buy 2 trading days before announcement,0.012868881118881126,0.014213286713286708,0.017470279720279716,0.013851398601398607,0.015929947460595447,0.012849387040280222,0.010683012259194396,0.014222416812609452,0.015502626970227683,0.01971052631578946,0.022933333333333333
Buy 3 trading days before announcement,0.01470928196147108,0.016045534150612953,0.019535901926444835,0.015786339754816116,0.017914035087719313,0.014798245614035073,0.012507017543859647,0.015985964912280697,0.017231578947368424,0.02232956685499057,0.027464197530864175
Buy 4 trading days before announcement,0.019381786339754816,0.020693520140105073,0.02428896672504379,0.020556917688266195,0.022784210526315806,0.019684210526315773,0.017428070175438605,0.02093333333333331,0.022154385964912277,0.028265536723163835,0.030958024691358017
Buy 5 trading days before announcement,0.026185964912280722,0.02754035087719299,0.03125964912280701,0.02754561403508771,0.029821052631578956,0.02673508771929823,0.024519298245614062,0.027971929824561394,0.02916315789473684,0.035871939736346496,0.03656296296296297
Buy 6 trading days before announcement,0.032292982456140366,0.033745614035087725,0.03765614035087717,0.033724561403508775,0.03611578947368422,0.03298245614035088,0.030633333333333335,0.03414912280701753,0.03539824561403508,0.04196986817325802,0.042935802469135816
Buy 7 trading days before announcement,0.03831754385964915,0.0396561403508772,0.04320701754385967,0.039721052631578935,0.04188947368421053,0.0388666666666667,0.03662982456140352,0.04024385964912286,0.04134210526315794,0.04754048964218456,0.047370370370370306
Buy 8 trading days before announcement,0.035991228070175456,0.03773157894736843,0.042117543859649095,0.037836842105263134,0.040529824561403506,0.03729122807017544,0.034926315789473694,0.03831228070175441,0.03957894736842104,0.04539924670433144,0.046279012345679015
Buy 9 trading days before announcement,0.0360596491228071,0.037659649122807004,0.04184912280701748,0.037810526315789475,0.04031578947368425,0.037184210526315806,0.034856140350877224,0.03825087719298247,0.03954035087719298,0.04372693032015069,0.046948148148148156
