,Sell 0 trading days after announcement,Sell 1 trading days after announcement,Sell 2 trading days after announcement,Sell 3 trading days after announcement,Sell 4 trading days after announcement,Sell 5 trading days after announcement,Sell 6 trading days after announcement,Sell 7 trading days after announcement,Sell 8 trading days after announcement,Sell 9 trading days after announcement,Sell 10 trading days after announcement
Buy 1 trading days before announcement,0.0423091946892121,0.07739224008355317,0.14004731770776302,0.09248248451171495,0.12834432975421858,0.12445262162008963,0.11648464329425909,0.1130617849253036,0.12192462283763777,0.1274147116312339,0.1358107902085608
Buy 10 trading days before announcement,0.10993926112276675,0.1441574255640853,0.22836726084753967,0.15930107770661825,0.20727616082120012,0.19875881742098256,0.18640590403825344,0.1783053324609474,0.1900242260127331,0.19104884710887074,0.20966718570115148
Buy 2 trading days before announcement,0.053338150130477525,0.08730972284954736,0.15402076698717987,0.10296458821051521,0.14125169272637905,0.13657825369070503,0.12714780475796666,0.12344370656127981,0.13193641973593195,0.13742253028060705,0.1467718408528241
Buy 3 trading days before announcement,0.06313810733546395,0.09777247860275637,0.16727958534651693,0.11285293903198991,0.15341515168249598,0.14770335419516367,0.1369001436652033,0.13297739469693862,0.1417503029481886,0.14633142355754647,0.1569167081423082
Buy 4 trading days before announcement,0.07238727195691795,0.10383576240596966,0.17141918110288326,0.11961057352321688,0.15919016525322005,0.15383596105494654,0.14418298732105883,0.14066145191165813,0.1491273409566462,0.15230122560070075,0.16579423521863504
Buy 5 trading days before announcement,0.08156740328675596,0.11124900087961799,0.17805565554308678,0.12713719057292092,0.16649520513986782,0.1613822052322801,0.15238307504489912,0.14817728866719534,0.15646821395882732,0.15934990152741343,0.1737362833423548
Buy 6 trading days before announcement,0.08893381429472412,0.11962004958903022,0.1892758682768786,0.13454834788804754,0.17604043890500756,0.17025410464542126,0.15974069699152071,0.1556777140707049,0.16398825774675083,0.16722834641614112,0.1810146206751783
Buy 7 trading days before announcement,0.09253471798531132,0.11807424166155864,0.17687776190683266,0.13353776640668547,0.16864839536689333,0.165259777749364,0.15766148522831425,0.15578236758972674,0.16189483388869544,0.16602692370586014,0.1767080046910501
Buy 8 trading days before announcement,0.10288923657022696,0.13834681675962082,0.2200442243637739,0.15389687864082244,0.20257563838503495,0.19418348567581567,0.18156564221943927,0.17459530114261665,0.1843241726157731,0.18669303510822804,0.20185142727286184
Buy 9 trading days before announcement,0.10371150986903184,0.1362491255155171,0.21310317898562897,0.15193511898535295,0.19725706581482655,0.19016664442030468,0.17864883524125164,0.17246456616056383,0.18192151290466357,0.1839811895886264,0.19875771303989503
