,Sell 0 trading days after announcement,Sell 1 trading days after announcement,Sell 2 trading days after announcement,Sell 3 trading days after announcement,Sell 4 trading days after announcement,Sell 5 trading days after announcement,Sell 6 trading days after announcement,Sell 7 trading days after announcement,Sell 8 trading days after announcement,Sell 9 trading days after announcement,Sell 10 trading days after announcement
Buy 1 trading days before announcement,-0.0009699248120300745,0.0011403508771929826,0.0033634085213032562,0.007205513784461151,0.008771929824561403,0.0015388471177944848,0.0005037593984962389,0.0010375939849624049,0.0014346733668341666,2.4793388429751076e-05,0.0016581196581196575
Buy 10 trading days before announcement,0.001694767441860462,0.0026715116279069774,0.0045726744186046515,0.008133720930232562,0.009561046511627903,0.0014883720930232572,-0.00014534883720930013,0.0012267441860465142,0.0008081395348837197,-0.006181229773462779,-0.009373134328358214
Buy 2 trading days before announcement,-0.005759398496240598,-0.003674185463659145,-0.001523809523809525,0.0023583959899749376,0.003954887218045115,-0.0032606516290726788,-0.004290726817042606,-0.003694235588972432,-0.0033442211055276353,-0.005685950413223141,-0.002683760683760682
Buy 3 trading days before announcement,-0.003180451127819552,-0.0010776942355889727,0.0011378446115288222,0.0050952380952381015,0.006686716791979954,-0.0005989974937343377,-0.0017293233082706762,-0.0010250626566416022,-0.0006884422110552757,-0.0027520661157024793,0.0011452991452991434
Buy 4 trading days before announcement,-0.001952380952380954,0.00010275689223057691,0.0024110275689223064,0.006318295739348371,0.007959899749373434,0.0006040100250626561,-0.000556390977443609,0.0001904761904761916,0.0004371859296482419,-0.00019559228650138015,0.0019401709401709374
Buy 5 trading days before announcement,0.0019248120300751886,0.003962406015037597,0.006290726817042608,0.010215538847117796,0.011872180451127817,0.004448621553884711,0.0033082706766917294,0.004097744360902258,0.0043517587939698454,0.0038622589531680427,0.0017179487179487167
Buy 6 trading days before announcement,0.002147869674185467,0.004147869674185462,0.0064761904761904765,0.010360902255639091,0.011949874686716776,0.0046015037593984945,0.0034085213032581415,0.004265664160401004,0.004507537688442208,0.00421763085399449,0.0028461538461538485
Buy 7 trading days before announcement,0.007426065162907266,0.009383458646616544,0.011681704260651626,0.015634085213032577,0.017122807017543863,0.009719298245614034,0.008491228070175433,0.009195488721804505,0.009510050251256279,0.008195592286501375,0.006055555555555555
Buy 8 trading days before announcement,0.004438596491228068,0.006285714285714278,0.008596491228070177,0.012501253132832077,0.014085213032581449,0.0066817042606516315,0.0055588972431077684,0.0061954887218045145,0.006572864321608038,0.004388429752066119,0.00035042735042734973
Buy 9 trading days before announcement,0.006339195979899496,0.008087939698492455,0.010288944723618085,0.01430904522613065,0.015856783919597998,0.008467336683417082,0.007324120603015079,0.007947236180904524,0.00836523929471032,0.0034696132596685096,0.0009829059829059772
