,Sell 0 trading days after announcement,Sell 1 trading days after announcement,Sell 2 trading days after announcement,Sell 3 trading days after announcement,Sell 4 trading days after announcement,Sell 5 trading days after announcement,Sell 6 trading days after announcement,Sell 7 trading days after announcement,Sell 8 trading days after announcement,Sell 9 trading days after announcement,Sell 10 trading days after announcement
Buy 1 trading days before announcement,0.03777151751547016,0.04851928436874837,0.05524587130175863,0.05662663462025862,0.05914865536249361,0.059115531801507644,0.06531388734644246,0.07445757680683204,0.07628165695418798,0.08635025643797888,0.0894597195081389
Buy 10 trading days before announcement,0.09214238175136655,0.09313152367529212,0.09537995497431538,0.09862737023704549,0.09894844665924636,0.09657429583788932,0.10135968820146293,0.10882125277379406,0.11062100530198267,0.1144533003378365,0.11388601790661954
Buy 2 trading days before announcement,0.04439755590673382,0.05330239051344628,0.058528641011191214,0.061596550623204266,0.0639444480161119,0.06310537753588177,0.06948345444370341,0.07881736883457004,0.07996040962612805,0.09009537914621535,0.09451730995471426
Buy 3 trading days before announcement,0.05687765693211553,0.06510043634846502,0.07047337104537008,0.07362772003920677,0.07548832382672391,0.07341706152942631,0.07805710393466164,0.0871924710538471,0.08810829389440474,0.09905620489976782,0.10085954751755832
Buy 4 trading days before announcement,0.06265483524832872,0.06910418881644177,0.07465385097921522,0.07742966619544761,0.07972350709740214,0.07712479988790015,0.08072984418240937,0.0894892756805695,0.08996685549287116,0.10046308677182285,0.10438138148142444
Buy 5 trading days before announcement,0.06946340897793915,0.07496515834073066,0.08053034441177095,0.08327422555845038,0.08523948646768051,0.08232727764890586,0.08609622819446555,0.0949055228173312,0.09594738736930034,0.10625034433415324,0.10681320956017902
Buy 6 trading days before announcement,0.07592856130159262,0.08051209022616412,0.08551360530926498,0.0876231370467729,0.08912541270413703,0.08675665787808588,0.08963113145665362,0.09851903164862316,0.09932976243938331,0.10916091076789121,0.11042707693273225
Buy 7 trading days before announcement,0.07684981059997498,0.08092878454485276,0.08607351328690208,0.08816716330088763,0.08880820311685499,0.086152963204135,0.08874614747527994,0.09735564951331817,0.09851437338133899,0.1076557218899976,0.10450792683609433
Buy 8 trading days before announcement,0.07984089463624935,0.08256253041526422,0.08752478522029399,0.08929517070361938,0.09056696213323288,0.08831534090006238,0.09229228158948027,0.09997842420357705,0.10138165647372734,0.10949164593129002,0.10490865155691596
Buy 9 trading days before announcement,0.08655702694296877,0.08778474248337766,0.09123736269218133,0.09396734235527157,0.09491914677711376,0.0930053365844732,0.09682812408182119,0.10468963235834017,0.10632706403459966,0.11154406313854924,0.10618293251358363
