Date,High,Low,Open,Close,Volume,Adj Close,,
29/7/2019,1.600000024,1.580000043,1.580000043,1.600000024,116000,1.600000024,,
30/7/2019,1.649999976,1.580000043,1.580000043,1.620000005,622000,1.620000005,,
31/7/2019,1.690000057,1.590000033,1.590000033,1.659999967,421042,1.659999967,,
1/8/2019,1.669999957,1.600000024,1.639999986,1.639999986,1805000,1.639999986,,
2/8/2019,1.580000043,1.519999981,1.580000043,1.580000043,3191957,1.580000043,,
5/8/2019,1.620000005,1.440000057,1.529999971,1.600000024,3207585,1.600000024,,
6/8/2019,1.539999962,1.440000057,1.519999981,1.50999999,1920271,1.50999999,,
7/8/2019,1.519999981,1.419999957,1.440000057,1.440000057,1520967,1.440000057,,
8/8/2019,1.600000024,1.49000001,1.49000001,1.600000024,1368000,1.600000024,,
9/8/2019,1.679999948,1.580000043,1.600000024,1.649999976,3056000,1.649999976,,
12/8/2019,1.629999995,1.570000052,1.629999995,1.610000014,1231900,1.610000014,,
13/8/2019,1.679999948,1.440000057,1.570000052,1.679999948,3560000,1.679999948,,
14/8/2019,1.690000057,1.450000048,1.450000048,1.620000005,1308000,1.620000005,,
15/8/2019,1.639999986,1.529999971,1.529999971,1.590000033,1330000,1.590000033,,
16/8/2019,1.700000048,1.559999943,1.580000043,1.690000057,3066000,1.690000057,,
19/8/2019,1.710000038,1.539999962,1.690000057,1.639999986,1304000,1.639999986,,
20/8/2019,1.720000029,1.610000014,1.620000005,1.710000038,3068000,1.710000038,,
21/8/2019,1.690000057,1.620000005,1.679999948,1.649999976,1188728,1.649999976,,
22/8/2019,1.700000048,1.610000014,1.639999986,1.700000048,3286000,1.700000048,,
23/8/2019,1.679999948,1.639999986,1.679999948,1.649999976,1247357,1.649999976,,
26/8/2019,1.590000033,1.50999999,1.590000033,1.539999962,1299871,1.539999962,,
27/8/2019,1.600000024,1.50999999,1.519999981,1.529999971,1015756,1.529999971,,
28/8/2019,1.590000033,1.480000019,1.529999971,1.570000052,1396000,1.570000052,,
29/8/2019,1.580000043,1.529999971,1.559999943,1.529999971,3206285,1.529999971,,
30/8/2019,1.799999952,1.480000019,1.539999962,1.799999952,3105572,1.799999952,,
2/9/2019,1.779999971,1.629999995,1.779999971,1.690000057,1208000,1.690000057,,
3/9/2019,1.799999952,1.639999986,1.639999986,1.789999962,1224000,1.789999962,0.059171539,
4/9/2019,1.799999952,1.730000019,1.779999971,1.799999952,2862642,1.799999952,0.005586587,
6/9/2019,1.809999943,1.620000005,1.620000005,1.720000029,1316756,1.720000029,-0.044444403,
9/9/2019,1.769999981,1.629999995,1.720000029,1.659999967,2974747,1.659999967,-0.034883756,-0.077777772
10/9/2019,1.669999957,1.590000033,1.659999967,1.620000005,1300143,1.620000005,-0.017751532,
11/9/2019,1.649999976,1.549999952,1.600000024,1.570000052,3440142,1.570000052,,
12/9/2019,1.559999943,1.5,1.559999943,1.519999981,1329885,1.519999981,,
13/9/2019,1.559999943,1.519999981,1.519999981,1.529999971,1408782,1.529999971,,
16/9/2019,1.519999981,1.480000019,1.50999999,1.49000001,1373714,1.49000001,,
17/9/2019,1.629999995,1.480000019,1.49000001,1.529999971,3232000,1.529999971,,
18/9/2019,1.649999976,1.539999962,1.539999962,1.590000033,3178034,1.590000033,,
19/9/2019,1.649999976,1.590000033,1.590000033,1.590000033,3116000,1.590000033,,
20/9/2019,1.620000005,1.580000043,1.590000033,1.610000014,1344000,1.610000014,,
23/9/2019,1.610000014,1.580000043,1.600000024,1.580000043,1262000,1.580000043,,
24/9/2019,1.590000033,1.519999981,1.570000052,1.539999962,1462000,1.539999962,,
25/9/2019,1.539999962,1.480000019,1.529999971,1.480000019,3402642,1.480000019,,
26/9/2019,1.549999952,1.480000019,1.480000019,1.549999952,1610000,1.549999952,,
27/9/2019,1.549999952,1.5,1.549999952,1.50999999,3270297,1.50999999,,
30/9/2019,1.769999981,1.549999952,1.649999976,1.769999981,3820000,1.769999981,,
2/10/2019,1.679999948,1.600000024,1.679999948,1.600000024,1370000,1.600000024,,
3/10/2019,1.629999995,1.600000024,1.629999995,1.620000005,1264000,1.620000005,,
4/10/2019,1.639999986,1.610000014,1.620000005,1.620000005,1238000,1.620000005,,
8/10/2019,1.620000005,1.460000038,1.600000024,1.559999943,3268000,1.559999943,,
9/10/2019,1.539999962,1.5,1.519999981,1.519999981,1381943,1.519999981,,
10/10/2019,1.529999971,1.50999999,1.519999981,1.519999981,160000,1.519999981,,
