Time,Title,Types,Number of reads,Comments,Author
10-08 15:31,平安银行盘中最高16.23元创历史新高，总市值3143.76亿,资讯,1305,0,财经评论
10-08 09:19,平安银行(000001)融资融券信息(09-30),资讯,573,0,平安银行资讯
10-08 09:07,平安银行：连续3日融资净偿还累计2.81亿元（09-30）,资讯,619,0,财经评论
09-30 20:44,华夏银行平安银行获香港从业牌照,资讯,3798,1,平安银行资讯
09-30 17:18,沪深两市09月30日26只个股发生63笔大宗交易 共成交10.,资讯,2117,0,平安银行资讯
09-30 09:25,平安银行：融资净偿还1.08亿元，两市排名第五（09-27,资讯,1305,0,财经评论
09-30 08:52,平安银行(000001)融资融券信息(09-27),资讯,1207,0,平安银行资讯
09-29 18:08,平安银行:2018年年度报告补充公告,公告,10154,3,平安银行资讯
09-28 05:16,平安银行交易银行事业部架构大调整,资讯,8341,1,平安银行资讯
09-27 17:49,沪深两市09月27日66只个股发生101笔大宗交易 共成交22,资讯,6601,0,平安银行资讯
09-27 15:41,华夏银行、平安银行获香港金管局银行牌照,资讯,7723,0,华夏银行资讯
09-27 09:09,平安银行(000001)融资融券信息(09-26),资讯,1023,0,平安银行资讯
09-27 08:44,平安银行：融资净偿还1.14亿元，两市排名第四（09-26,资讯,1245,0,财经评论
09-27 08:40,香港持牌银行数量增至164家：平安、华夏银行获牌照,资讯,9998,3,财经评论
09-27 05:17,平安银行股份有限公司关于获得香港金融管理局银行牌照,资讯,8517,6,平安银行资讯
09-26 22:32,平安银行：赎回面值95.89万元的“平银转债” 占发行总,资讯,2623,2,平安银行资讯
09-26 18:13,平安银行:关于平银转债赎回结果的公告,公告,7923,0,平安银行资讯
09-26 18:13,平安银行:关于平银转债摘牌的公告,公告,4554,2,平安银行资讯
09-26 17:50,平安银行：获得香港金融管理局银行牌照 成为香港持牌,资讯,12447,12,平安银行资讯
09-26 17:32,沪深两市09月26日75只个股发生122笔大宗交易 共成交29,资讯,1485,0,平安银行资讯
09-26 17:20,平安银行:关于获得香港金融管理局银行牌照的公告,公告,16658,17,平安银行资讯
09-26 16:05,平安交易银行组织架构调整落地 战略客户百日会战打响,资讯,3621,2,平安银行资讯
09-26 15:51,平安银行盘中最高16.04元，股价连续五日创历史新高,资讯,6290,2,财经评论
09-26 09:20,平安银行(000001)融资融券信息(09-25),资讯,1187,0,平安银行资讯
09-26 08:55,平安银行：融资净买入276.57万元，融资余额37.86亿元,资讯,747,0,财经评论
09-25 18:02,沪深两市09月25日70只个股发生144笔大宗交易 共成交33,资讯,1679,0,平安银行资讯
09-25 16:49,平安银行09月25日发生1笔大宗交易价格13.66元 折价13.,资讯,6585,6,平安银行资讯
09-25 16:35,平安银行点亮深圳地标 开展“线上+线下”立体化金融知,资讯,3394,1,平安银行资讯
09-25 09:20,平安银行(000001)融资融券信息(09-24),资讯,788,0,平安银行资讯
09-25 08:54,平安银行：连续4日融资净偿还累计3.88亿元（09-24）,资讯,835,0,财经评论
09-24 18:04,沪深两市09月24日81只个股发生148笔大宗交易 共成交33,资讯,1375,0,平安银行资讯
09-24 16:52,平安银行09月24日发生2笔大宗交易均价14.30元 平均折,资讯,3091,0,平安银行资讯
09-24 09:17,平安银行(000001)融资融券信息(09-23),资讯,831,0,平安银行资讯
09-24 09:09,平安银行：融资净偿还9952.26万元，两市排名第二（09-,资讯,867,0,财经评论
09-23 17:53,沪深两市09月23日44只个股发生62笔大宗交易 共成交16.,资讯,1868,0,平安银行资讯
09-23 17:52,平安银行:中信证券股份有限公司、平安证券股份有限公,公告,4083,0,平安银行资讯
09-23 17:52,平安银行:董事会决议公告,公告,8731,1,平安银行资讯
09-23 17:51,平安银行:独立董事相关独立意见,公告,2225,0,平安银行资讯
09-23 17:51,平安银行:关联交易公告,公告,8424,4,平安银行资讯
09-23 15:32,平安银行盘中最高15.47元，股价连续两日创历史新高,资讯,2590,0,财经评论
09-23 09:04,平安银行：融资净偿还1.67亿元，两市排名第一（09-20,资讯,1996,1,财经评论
09-23 08:42,平安银行(000001)融资融券信息(09-20),资讯,935,0,平安银行资讯
09-20 18:01,沪电股份成交46亿元两市居首，一文细看今日A股风云(9-,资讯,19623,10,财经评论
09-20 18:01,沪深两市09月20日54只个股发生95笔大宗交易 共成交19.,资讯,2847,0,平安银行资讯
09-20 15:47,沪指缩量收复3000点 贵州茅台、平安银行等42只个股盘,资讯,19907,4,财经评论
09-20 15:37,平安银行盘中最高15.4元创历史新高，总市值2897.97亿,资讯,4649,2,财经评论
09-20 09:19,平安银行(000001)融资融券信息(09-19),资讯,1000,0,平安银行资讯
09-20 08:59,平安银行：融资净偿还1亿元，两市排名第二（09-19）,资讯,814,0,财经评论
09-19 22:37,北向资金连续两个交易日净流入：净买入9.88亿元平安银,资讯,3437,0,平安银行资讯
09-19 18:20,沪深两市09月19日77只个股发生118笔大宗交易 共成交19,资讯,2209,0,平安银行资讯
09-19 18:16,中国平安成交38亿元两市居首，一文细看今日A股风云(9-,资讯,13348,5,财经评论
09-19 17:32,北向资金今日净流入26.92亿元 大幅净买入平安银行9.88,资讯,35220,118,财经评论
09-19 09:06,平安银行(000001)融资融券信息(09-18),资讯,1067,0,平安银行资讯
09-19 08:46,平安银行：连续3日融资净买入累计1.42亿元（09-18）,资讯,866,0,财经评论
09-19 07:43,平银转债今启强制赎回,资讯,5120,1,平安银行资讯
09-19 05:15,平银转债今启强制赎回 转股提速 银行可转债热度劲升,资讯,8454,3,平安银行资讯
09-18 19:06,沪深两市09月18日23只个股发生48笔大宗交易 共成交12.,资讯,1885,0,平安银行资讯
09-18 19:02,平安银行转型零售获成效 存款成本仍居高不下,资讯,3299,0,平安银行资讯
09-18 18:19,平安银行:关于平银转债停止交易的公告,公告,11273,13,平安银行资讯
09-18 13:07,最后2小时！这类投资人或面临20%损失 3分钟教你如何自,资讯,10414,12,财经评论
09-18 09:26,平安银行：融资净买入2706.81万元，融资余额41.36亿元,资讯,1022,0,财经评论
09-18 08:53,平安银行(000001)融资融券信息(09-17),资讯,990,0,平安银行资讯
09-17 17:39,沪深两市09月17日44只个股发生67笔大宗交易 共成交16.,资讯,1674,0,平安银行资讯
09-17 17:23,平安银行:关于“平银转债”赎回实施的第十九次公告,公告,6421,4,平安银行资讯
09-17 09:15,平安银行(000001)融资融券信息(09-16),资讯,1002,0,平安银行资讯
09-17 08:55,平安银行：融资净买入8036.52万元，两市排名第15（09-,资讯,1099,0,财经评论
09-16 18:41,沪深两市09月16日55只个股发生93笔大宗交易 共成交15.,资讯,399,0,平安银行资讯
09-16 17:49,平安银行:关于平银转债转股数额累计达到转股前公司已,公告,11319,13,平安银行资讯
09-16 15:39,平安银行:关于“平银转债”赎回实施的第十八次公告,公告,5347,4,平安银行资讯
09-16 09:06,平安银行(000001)融资融券信息(09-12),资讯,1007,0,平安银行资讯
09-16 08:44,平安银行：融资净偿还377.71万元，融资余额40.29亿元,资讯,929,0,财经评论
09-15 16:25,平安银行:关于“平银转债”赎回实施的第十七次公告,公告,6051,3,平安银行资讯
09-12 18:09,沪深两市09月12日64只个股发生113笔大宗交易 共成交27,资讯,2619,1,平安银行资讯
