,cmc1,cmc2,cmc3,cmc4,cmc5,cmc6,cmc7,cmc8,cmc9,cmc10,cmc11,cmc12,cmc13,cmc14,cmc15,cmc16,cmc17,cmc18,cmc19,cmc20,cmc21,cmc22,cmc23,cmc24,cmc25,cmc26,cmc27,cmc28,cmc29,cmc30,cmc31,cmc32,cmc33,cmc34,cmc35,cmc36,cmc37,cmc38,cmc39,cmc40,CSI300_cmc1,CSI300_cmc2,CSI300_cmc3,CSI300_cmc4,CSI300_cmc5,CSI300_cmc6,CSI300_cmc7,CSI300_cmc8,CSI300_cmc9,CSI300_cmc10,CSI300_cmc11,CSI300_cmc12,CSI300_cmc13,CSI300_cmc14,CSI300_cmc15,CSI300_cmc16,CSI300_cmc17,CSI300_cmc18,CSI300_cmc19,CSI300_cmc20,CSI300_cmc21,CSI300_cmc22,CSI300_cmc23,CSI300_cmc24,CSI300_cmc25,CSI300_cmc26,CSI300_cmc27,CSI300_cmc28,CSI300_cmc29,CSI300_cmc30,CSI300_cmc31,CSI300_cmc32,CSI300_cmc33,CSI300_cmc34,CSI300_cmc35,CSI300_cmc36,CSI300_cmc37,CSI300_cmc38,CSI300_cmc39,CSI300_cmc40
2015-03-09,-0.0013,0.0004,0.0201,0.0307,0.0557,0.0746,0.0936,0.0956,0.1055,0.1317,0.1377,0.1279,0.1305,0.135,0.1693,0.1593,0.1834,0.1898,0.2056,0.2331,0.245,0.231,0.2543,0.2764,0.2885,0.2714,0.3028,0.3272,0.3135,0.3363,0.3762,0.3827,0.3702,0.3992,0.3781,0.3778,0.3677,0.3884,0.3435,0.3271,-0.0048,-0.0037,0.0156,0.0226,0.0475,0.062,0.0871,0.0854,0.1003,0.1228,0.123,0.1138,0.1165,0.1227,0.1556,0.1451,0.1657,0.1659,0.1789,0.2042,0.2143,0.2048,0.228,0.2497,0.2545,0.2382,0.2758,0.2992,0.2782,0.3057,0.3398,0.3401,0.3293,0.3589,0.3404,0.3495,0.3426,0.3533,0.2994,0.2871
2015-03-10,0.0029,0.0129,0.0192,0.0476,0.0665,0.0916,0.0961,0.1105,0.1377,0.1451,0.1453,0.1427,0.1488,0.1734,0.1788,0.2091,0.2158,0.2271,0.2548,0.2528,0.2428,0.2772,0.3046,0.3146,0.2772,0.3032,0.3207,0.3228,0.348,0.3834,0.376,0.3721,0.404,0.3848,0.3939,0.3842,0.3949,0.3544,0.3452,0.3245,0.0011,0.0205,0.0276,0.0526,0.0672,0.0924,0.0906,0.1057,0.1282,0.1285,0.1192,0.122,0.1281,0.1612,0.1507,0.1714,0.1716,0.1846,0.21,0.2202,0.2106,0.234,0.2558,0.2606,0.2442,0.282,0.3055,0.2844,0.312,0.3463,0.3466,0.3357,0.3656,0.3469,0.3561,0.3492,0.3599,0.3057,0.2933,0.2697
2015-03-11,0.0173,0.0225,0.049,0.0664,0.0894,0.0924,0.1161,0.1384,0.1411,0.1395,0.1431,0.1501,0.1789,0.1711,0.2091,0.2194,0.239,0.2708,0.2785,0.2787,0.3096,0.3273,0.3186,0.2844,0.3047,0.3183,0.3001,0.3382,0.3829,0.3794,0.3624,0.3768,0.3466,0.365,0.3628,0.3811,0.3344,0.3274,0.3105,0.3338,0.0193,0.0264,0.0514,0.066,0.0912,0.0894,0.1044,0.1269,0.1272,0.118,0.1207,0.1268,0.1599,0.1494,0.17,0.1703,0.1832,0.2086,0.2188,0.2092,0.2326,0.2543,0.2592,0.2428,0.2806,0.304,0.2829,0.3105,0.3448,0.3451,0.3342,0.364,0.3453,0.3546,0.3476,0.3584,0.3042,0.2919,0.2682,0.2933
2015-03-12,0.0157,0.0451,0.0642,0.0892,0.101,0.1098,0.1334,0.1573,0.1502,0.1472,0.1575,0.1774,0.1721,0.204,0.2127,0.2304,0.2545,0.2605,0.2511,0.28,0.3046,0.3056,0.2777,0.2971,0.3138,0.321,0.3436,0.3706,0.3771,0.3745,0.41,0.3841,0.3897,0.3851,0.3936,0.3562,0.3344,0.3114,0.3481,0.3929,0.0069,0.0314,0.0457,0.0705,0.0687,0.0834,0.1055,0.1058,0.0967,0.0994,0.1054,0.1379,0.1276,0.1478,0.1481,0.1608,0.1857,0.1957,0.1863,0.2092,0.2305,0.2353,0.2192,0.2563,0.2792,0.2586,0.2857,0.3192,0.3195,0.3089,0.3381,0.3198,0.3288,0.322,0.3326,0.2794,0.2673,0.2442,0.2687,0.3055
2015-03-13,0.0347,0.0524,0.0725,0.0726,0.0843,0.1056,0.1157,0.1193,0.11,0.1134,0.1417,0.1466,0.1789,0.1897,0.2124,0.2447,0.2464,0.2447,0.2813,0.3031,0.2998,0.2669,0.2889,0.2948,0.2849,0.3166,0.3479,0.3433,0.3343,0.36,0.3271,0.3373,0.3284,0.3394,0.3084,0.2986,0.2813,0.319,0.3599,0.3877,0.0243,0.0385,0.0631,0.0614,0.076,0.098,0.0982,0.0892,0.0919,0.0979,0.1301,0.1198,0.1399,0.1402,0.1528,0.1776,0.1875,0.1781,0.2009,0.2221,0.2268,0.2109,0.2476,0.2705,0.25,0.2768,0.3102,0.3105,0.2999,0.3289,0.3108,0.3197,0.313,0.3234,0.2707,0.2586,0.2356,0.26,0.2966,0.3123
2015-03-16,0.0199,0.0432,0.0418,0.0558,0.0829,0.0929,0.0883,0.0789,0.0846,0.1044,0.1063,0.1418,0.1568,0.1775,0.2049,0.2073,0.2056,0.2344,0.2594,0.2541,0.2193,0.2426,0.2437,0.2212,0.2553,0.2926,0.2982,0.2862,0.3056,0.2724,0.2833,0.2714,0.2814,0.24,0.233,0.2193,0.2449,0.2821,0.3055,0.3114,0.0139,0.0379,0.0362,0.0504,0.0719,0.0722,0.0633,0.0659,0.0718,0.1032,0.0932,0.1129,0.1131,0.1254,0.1496,0.1593,0.1502,0.1724,0.1931,0.1977,0.1821,0.218,0.2403,0.2203,0.2465,0.2791,0.2794,0.269,0.2974,0.2796,0.2884,0.2818,0.292,0.2405,0.2287,0.2063,0.2301,0.2658,0.2811,0.2733
2015-03-17,0.0184,0.0238,0.0334,0.056,0.0629,0.0575,0.0603,0.0653,0.0918,0.0897,0.1164,0.1257,0.1405,0.1715,0.1824,0.1776,0.2085,0.2379,0.2419,0.2107,0.2413,0.2567,0.2543,0.2902,0.33,0.339,0.3396,0.3736,0.3501,0.3554,0.3453,0.3635,0.3104,0.2917,0.2634,0.2907,0.3327,0.3492,0.3342,0.3469,0.0237,0.022,0.0361,0.0572,0.0575,0.0488,0.0513,0.0571,0.0881,0.0783,0.0976,0.0979,0.11,0.1339,0.1434,0.1344,0.1563,0.1767,0.1813,0.1659,0.2013,0.2233,0.2036,0.2294,0.2616,0.2618,0.2517,0.2796,0.2621,0.2707,0.2642,0.2743,0.2235,0.2119,0.1898,0.2133,0.2484,0.2636,0.2559,0.2512
2015-03-18,0.0076,0.0187,0.0424,0.0509,0.0502,0.0515,0.0574,0.0946,0.0909,0.1224,0.1243,0.1422,0.1752,0.1894,0.1855,0.2066,0.224,0.2251,0.2066,0.2259,0.2473,0.2452,0.2672,0.3074,0.3032,0.2956,0.3282,0.3017,0.3071,0.301,0.3118,0.2753,0.2545,0.2287,0.2523,0.2841,0.3067,0.3085,0.3138,0.2934,-0.0016,0.0121,0.0328,0.033,0.0245,0.027,0.0327,0.063,0.0533,0.0722,0.0725,0.0844,0.1076,0.1169,0.1082,0.1296,0.1495,0.154,0.139,0.1736,0.195,0.1757,0.201,0.2324,0.2327,0.2227,0.25,0.2329,0.2414,0.235,0.2448,0.1952,0.1839,0.1623,0.1852,0.2196,0.2344,0.2268,0.2222,0.2006
2015-03-19,0.0144,0.0407,0.0487,0.0543,0.0515,0.0548,0.0795,0.0827,0.1128,0.1223,0.1309,0.1612,0.1653,0.1568,0.1849,0.2102,0.2123,0.183,0.2064,0.2322,0.2256,0.2567,0.3024,0.3054,0.3141,0.3484,0.3206,0.3282,0.3206,0.3241,0.2773,0.2655,0.2374,0.2658,0.3133,0.347,0.3311,0.331,0.3225,0.3288,0.0138,0.0345,0.0347,0.0262,0.0287,0.0344,0.0647,0.0551,0.074,0.0742,0.0862,0.1095,0.1188,0.11,0.1314,0.1514,0.1559,0.1408,0.1755,0.197,0.1777,0.203,0.2344,0.2347,0.2247,0.2521,0.2349,0.2434,0.237,0.2469,0.1972,0.1858,0.1642,0.1872,0.2216,0.2364,0.2288,0.2242,0.2025,0.1915
2015-03-20,0.0243,0.032,0.0282,0.025,0.034,0.0637,0.0651,0.0903,0.0984,0.1188,0.1513,0.1578,0.1484,0.1688,0.1882,0.1924,0.1624,0.1858,0.2025,0.1999,0.2301,0.262,0.2674,0.263,0.2824,0.2615,0.2809,0.2675,0.2867,0.2463,0.2291,0.2048,0.236,0.2733,0.2875,0.2925,0.2963,0.2802,0.2801,0.3049,0.0204,0.0207,0.0123,0.0148,0.0203,0.0503,0.0408,0.0594,0.0597,0.0714,0.0944,0.1036,0.0949,0.1161,0.1358,0.1402,0.1254,0.1595,0.1807,0.1617,0.1867,0.2177,0.2179,0.2081,0.2351,0.2182,0.2265,0.2202,0.23,0.1809,0.1697,0.1484,0.1711,0.205,0.2196,0.2122,0.2076,0.1862,0.1754,0.2154
