,interval 3_0,interval 3_0_transaction,interval 5_0,interval 5_0_transaction,interval 10_0,interval 10_0_transaction,interval 15_0,interval 15_0_transaction,interval 20_0,interval 20_0_transaction,interval 30_0,interval 30_0_transaction
2015-03-09,-0.017,-0.018,-0.017,-0.018,-0.017,-0.018,-0.017,-0.018,-0.017,-0.018,-0.017,-0.018
2015-03-10,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059
2015-03-11,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
2015-03-12,-0.0084,-0.0096,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084
2015-03-13,0.0088,0.0088,-0.0009,-0.0009,-0.0009,-0.0009,-0.0009,-0.0009,-0.0009,-0.0009,-0.0009,-0.0009
2015-03-16,0.0103,0.0103,0.004,0.0026,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
2015-03-17,0.0039,0.0024,0.0034,0.0034,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047
2015-03-18,-0.0015,-0.0015,-0.0053,-0.0053,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007
2015-03-19,0.0091,0.0091,0.0071,0.0071,0.0054,0.0054,0.0054,0.0054,0.0054,0.0054,0.0054,0.0054
2015-03-20,-0.0029,-0.0044,-0.0052,-0.0052,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002
2015-03-23,0.0063,0.0063,0.0023,0.001,0.0036,0.0022,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036
2015-03-24,0.0129,0.0129,0.0099,0.0099,0.0099,0.0099,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066
2015-03-25,0.0095,0.0083,0.0075,0.0075,0.0075,0.0075,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063
2015-03-26,-0.0063,-0.0063,-0.002,-0.002,-0.002,-0.002,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073
2015-03-27,0.0012,0.0012,0.0001,0.0001,0.0009,0.0009,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
2015-03-30,-0.0084,-0.0096,-0.0114,-0.0128,-0.0105,-0.0105,-0.0072,-0.0086,-0.0072,-0.0072,-0.0072,-0.0072
2015-03-31,0.0022,0.0022,0.0022,0.0022,0.0035,0.0035,0.0029,0.0029,0.0088,0.0088,0.0088,0.0088
2015-04-01,0.0019,0.0019,0.0019,0.0019,0.0051,0.0051,0.0022,0.0022,0.0049,0.0049,0.0049,0.0049
2015-04-02,0.0062,0.005,0.0062,0.0062,0.0127,0.0127,0.0061,0.0061,0.008,0.008,0.008,0.008
2015-04-03,0.0005,0.0005,-0.0024,-0.0024,0.0027,0.0027,-0.0034,-0.0034,0.0003,0.0003,0.0003,0.0003
2015-04-07,0.0031,0.0031,0.0055,0.0043,0.0061,0.0048,0.0045,0.0045,-0.0011,-0.0025,-0.0011,-0.0011
2015-04-08,-0.0088,-0.01,-0.0005,-0.0005,-0.0005,-0.0005,-0.0083,-0.0083,-0.0005,-0.0005,-0.0135,-0.0135
2015-04-09,-0.0018,-0.0018,0.0006,0.0006,-0.0008,-0.0008,-0.0011,-0.0011,0.0006,0.0006,-0.0079,-0.0079
2015-04-10,0.0043,0.0043,0.0011,0.0011,0.0014,0.0014,-0.001,-0.001,0.0011,0.0011,0.0067,0.0067
2015-04-13,0.0065,0.0053,0.0038,0.0038,0.0043,0.0043,0.001,0.001,0.0038,0.0038,0.0005,0.0005
2015-04-14,0.0071,0.0071,0.001,-0.0003,0.0014,0.0014,-0.0013,-0.0013,0.001,0.001,0.0012,0.0012
2015-04-15,-0.0112,-0.0112,-0.0051,-0.0051,-0.0136,-0.0136,-0.0163,-0.0163,-0.014,-0.014,-0.0244,-0.0244
2015-04-16,-0.0104,-0.0114,-0.0114,-0.0114,-0.0069,-0.0069,-0.0008,-0.0008,-0.0068,-0.0068,-0.0027,-0.0027
2015-04-17,0.0075,0.0075,-0.0004,-0.0004,-0.0018,-0.0018,0.0036,0.0036,-0.0009,-0.0009,0.0025,0.0025
2015-04-20,0.0127,0.0127,0.0004,0.0004,0.0018,0.0018,0.0108,0.0108,0.0019,0.0019,0.0105,0.0105
2015-04-21,0.0121,0.011,0.004,0.0028,0.0116,0.0103,0.0102,0.0089,0.0118,0.0118,0.0135,0.0123
2015-04-22,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0009,0.0009,0.0011,0.0011
2015-04-23,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.0062,0.0062,0.008,0.008
2015-04-24,0.0153,0.0142,0.0153,0.0153,0.0125,0.0125,0.0131,0.0131,0.0122,0.0122,0.0111,0.0111
2015-04-27,0.0019,0.0019,-0.0025,-0.0025,-0.005,-0.005,-0.0035,-0.0035,-0.003,-0.003,-0.0054,-0.0054
2015-04-28,-0.0073,-0.0073,-0.0123,-0.0134,-0.0161,-0.0161,-0.0115,-0.0115,-0.0103,-0.0103,-0.0159,-0.0159
2015-04-29,0.0108,0.0096,0.005,0.005,0.0053,0.0053,0.0082,0.0082,0.0047,0.0047,0.0064,0.0064
2015-04-30,0.0008,0.0008,0.0017,0.0017,0.0014,0.0014,0.003,0.003,-0.0049,-0.0049,0.0,0.0
2015-05-04,0.0068,0.0068,-0.0035,-0.0035,0.0062,0.0062,0.0039,0.0039,0.0005,0.0005,0.0066,0.0066
2015-05-05,-0.0016,-0.0029,0.0015,0.0015,0.0001,0.0001,-0.0002,-0.0002,-0.0026,-0.0026,0.0009,0.0009
2015-05-06,-0.0033,-0.0033,-0.0056,-0.007,-0.0008,-0.0021,0.0019,0.0019,-0.0047,-0.0061,0.0001,0.0001
2015-05-07,-0.0001,-0.0001,-0.0154,-0.0154,-0.0154,-0.0154,-0.0014,-0.0014,-0.0146,-0.0146,-0.0007,-0.0007
2015-05-08,0.0115,0.0103,0.0106,0.0106,0.0106,0.0106,0.0154,0.0154,0.0096,0.0096,0.0142,0.0142
2015-05-11,0.0138,0.0138,0.0042,0.0042,0.005,0.005,0.0115,0.0115,0.0043,0.0043,0.0112,0.0112
2015-05-12,0.0197,0.0197,0.0061,0.0061,0.0073,0.0073,0.0048,0.0048,0.0066,0.0066,0.0045,0.0045
2015-05-13,0.0014,0.0,0.0011,-0.0003,0.001,0.001,0.004,0.0029,0.0007,0.0007,0.004,0.004
2015-05-14,0.0045,0.0045,0.0045,0.0045,0.002,0.002,0.0045,0.0045,0.0013,0.0013,0.0021,0.0021
2015-05-15,-0.0033,-0.0033,-0.0033,-0.0033,0.0058,0.0058,-0.0033,-0.0033,0.0064,0.0064,0.003,0.003
2015-05-18,0.0059,0.0046,0.0059,0.0059,0.0048,0.0048,0.0059,0.0059,0.0054,0.0054,0.0102,0.0102
2015-05-19,-0.002,-0.002,0.0001,0.0001,-0.0008,-0.0008,0.0001,0.0001,-0.0012,-0.0012,-0.0055,-0.0055
2015-05-20,0.0038,0.0038,0.0017,0.0006,0.0065,0.0053,0.0031,0.0031,0.0065,0.0065,0.004,0.004
2015-05-21,0.0074,0.0063,0.0163,0.0163,0.0153,0.0153,0.0061,0.0061,0.0096,0.0096,0.0124,0.0124
2015-05-22,-0.0019,-0.0019,-0.0056,-0.0056,-0.0056,-0.0056,0.0043,0.0043,0.0038,0.0038,-0.0007,-0.0007
2015-05-25,0.0022,0.0022,-0.0042,-0.0042,-0.0029,-0.0029,-0.0011,-0.0011,0.0056,0.0056,0.0039,0.0039
2015-05-26,0.0145,0.0131,0.0102,0.0102,0.0116,0.0116,0.0066,0.0066,0.0086,0.0086,0.0088,0.0088
2015-05-27,0.0055,0.0055,0.0125,0.0111,0.0135,0.0135,0.0088,0.0088,0.0081,0.0081,0.0157,0.0157
2015-05-28,-0.0042,-0.0042,-0.0019,-0.0019,0.0024,0.0024,0.0058,0.0058,0.0026,0.0026,0.0031,0.0031
2015-05-29,0.0032,0.0019,0.0005,0.0005,0.003,0.003,0.0047,0.0047,-0.0037,-0.0037,0.0105,0.0105
2015-06-01,0.0046,0.0046,0.0034,0.0034,0.0064,0.0064,0.0023,0.0023,0.0077,0.0077,0.0054,0.0054
2015-06-02,0.0032,0.0032,0.0045,0.0045,0.0103,0.0103,0.0006,0.0006,0.0114,0.0114,0.0105,0.0105
2015-06-03,-0.0051,-0.0063,-0.0022,-0.0035,0.0051,0.0038,0.0116,0.0104,0.0015,0.0002,0.0034,0.002
2015-06-04,-0.018,-0.018,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164
2015-06-05,0.0042,0.0042,0.0032,0.0032,0.0032,0.0032,0.0024,0.0024,0.0024,0.0024,0.0032,0.0032
2015-06-08,-0.0131,-0.0143,-0.0167,-0.0167,-0.0167,-0.0167,-0.0167,-0.0167,-0.0167,-0.0167,-0.0154,-0.0154
2015-06-09,0.0078,0.0078,0.0042,0.0042,0.0042,0.0042,0.0062,0.0062,0.0062,0.0062,0.0057,0.0057
2015-06-10,0.0145,0.0145,0.0085,0.0071,0.0085,0.0085,0.0076,0.0076,0.0095,0.0095,0.0099,0.0099
2015-06-11,0.0053,0.0041,0.0015,0.0015,0.0049,0.0049,0.0047,0.0047,0.0061,0.0061,0.0063,0.0063
2015-06-12,0.0025,0.0025,-0.0006,-0.0006,-0.0009,-0.0009,-0.0,-0.0,-0.0009,-0.0009,-0.0009,-0.0009
2015-06-15,0.0068,0.0068,0.0022,0.0022,-0.0053,-0.0053,-0.0043,-0.0043,-0.0031,-0.0031,-0.0034,-0.0034
2015-06-16,-0.0052,-0.0066,-0.0028,-0.0028,-0.0101,-0.0101,-0.0102,-0.0102,-0.0084,-0.0084,-0.0081,-0.0081
2015-06-17,0.0102,0.0102,0.0013,0.0,0.0059,0.0047,0.0078,0.0078,0.0054,0.0054,0.0062,0.0062
2015-06-18,-0.0064,-0.0064,-0.0013,-0.0013,-0.0013,-0.0013,0.0022,0.0022,0.0015,0.0015,0.0012,0.0012
2015-06-19,0.0013,0.0003,-0.0092,-0.0092,-0.0097,-0.0097,-0.0049,-0.0049,-0.0058,-0.0058,-0.0046,-0.0046
2015-06-23,0.0048,0.0048,-0.0027,-0.0027,-0.0046,-0.0046,-0.0029,-0.0029,-0.0025,-0.0025,-0.0011,-0.0011
2015-06-24,0.0017,0.0017,0.0081,0.0081,0.0076,0.0076,0.0014,0.0014,0.0014,0.0014,0.0007,0.0007
2015-06-25,-0.0043,-0.0054,-0.0014,-0.0028,-0.0013,-0.0013,-0.0022,-0.0034,-0.0019,-0.0019,-0.0037,-0.0037
2015-06-26,-0.0017,-0.0017,-0.0011,-0.0011,-0.0072,-0.0072,-0.0011,-0.0011,-0.0057,-0.0057,-0.0057,-0.0057
2015-06-29,-0.0108,-0.0108,-0.0091,-0.0091,-0.0132,-0.0132,-0.0091,-0.0091,-0.015,-0.015,-0.015,-0.015
2015-06-30,-0.0055,-0.0067,-0.0012,-0.0012,0.0004,0.0004,-0.0012,-0.0012,-0.0013,-0.0013,-0.0005,-0.0005
2015-07-01,-0.0145,-0.0145,-0.0026,-0.0026,-0.0075,-0.0075,-0.0026,-0.0026,-0.0087,-0.0087,-0.0087,-0.0087
2015-07-02,-0.0344,-0.0344,-0.0094,-0.0105,-0.0127,-0.0139,-0.0094,-0.0094,-0.02,-0.0211,-0.0185,-0.0185
2015-07-03,-0.0097,-0.0108,-0.0082,-0.0082,-0.0082,-0.0082,-0.0029,-0.0029,-0.0082,-0.0082,-0.0028,-0.0028
2015-07-06,-0.0148,-0.0148,-0.0044,-0.0044,-0.0044,-0.0044,-0.0133,-0.0133,-0.0044,-0.0044,-0.0233,-0.0233
2015-07-07,-0.0204,-0.0204,-0.0265,-0.0265,-0.0265,-0.0265,-0.0263,-0.0263,-0.0265,-0.0265,-0.0294,-0.0294
2015-07-08,-0.0077,-0.0087,-0.0013,-0.0013,-0.0013,-0.0013,-0.0033,-0.0033,-0.0013,-0.0013,0.0111,0.0111
2015-07-09,0.0287,0.0287,0.0262,0.0252,0.0262,0.0262,0.023,0.023,0.0262,0.0262,0.0275,0.0275
2015-07-10,0.0337,0.0337,0.0319,0.0319,0.0279,0.0279,0.0217,0.0217,0.0279,0.0279,0.0279,0.0279
2015-07-13,0.0394,0.0383,0.0304,0.0304,0.0274,0.0274,0.026,0.026,0.0266,0.0266,0.0322,0.0322
2015-07-14,0.0152,0.0152,0.0021,0.0021,0.012,0.012,0.024,0.024,0.0105,0.0105,0.0129,0.0129
2015-07-15,-0.0075,-0.0075,-0.02,-0.02,-0.0167,-0.0167,-0.0158,-0.0158,-0.0167,-0.0167,-0.0155,-0.0155
2015-07-16,0.0048,0.0036,0.0132,0.0119,0.0151,0.0138,0.0094,0.0081,0.0149,0.0149,0.0121,0.0109
