date,PX_OPEN,PX_LAST
2017-02-14,,1.78
2017-02-15,2.14,2.56
2017-02-16,2.82,2.82
2017-02-17,3.1,3.1
2017-02-20,3.41,3.41
2017-02-21,3.75,3.75
2017-02-22,4.13,4.13
2017-02-23,4.54,4.54
2017-02-24,4.99,4.99
2017-02-27,5.49,5.49
2017-02-28,6.04,6.04
2017-03-01,6.64,6.64
2017-03-02,7.3,7.3
2017-03-08,8.03,8.03
2017-03-09,8.83,8.83
2017-03-10,9.71,9.71
2017-03-13,10.68,10.68
2017-03-14,10.5,11.75
2017-03-15,12.37,12.93
2017-03-16,13.67,14.22
2017-03-17,15.64,14.43
2017-03-20,14.26,15.27
2017-03-21,15.0,15.41
2017-03-22,15.0,16.29
2017-03-23,16.1,16.6
2017-03-24,16.58,15.76
2017-03-27,15.6,15.66
2017-03-28,15.7,15.29
2017-03-29,14.71,14.16
2017-03-30,13.82,14.03
2017-03-31,13.9,13.0
2017-04-05,12.7,12.79
2017-04-06,12.61,12.86
2017-04-07,12.71,13.29
2017-04-10,12.8,11.96
2017-04-11,11.7,12.2
2017-04-12,12.17,11.52
2017-04-13,11.5,11.55
2017-04-14,11.61,11.56
2017-04-17,10.64,10.4
2017-04-18,9.93,9.86
2017-04-19,9.88,10.38
2017-04-20,10.28,10.06
2017-04-21,10.07,9.56
2017-04-24,9.45,9.58
2017-04-25,9.57,9.51
2017-04-26,9.4,9.69
2017-04-27,9.56,10.24
2017-04-28,10.05,10.13
2017-05-02,10.0,10.04
2017-05-03,10.02,10.54
2017-05-04,10.29,10.15
2017-05-05,10.0,9.74
2017-05-08,9.67,9.02
2017-05-09,8.96,9.28
2017-05-10,9.6,9.11
2017-05-11,8.84,8.98
2017-05-12,8.89,9.11
2017-05-15,9.2,8.92
2017-05-16,8.75,9.12
2017-05-17,9.1,9.18
2017-05-18,9.3,9.14
2017-05-19,8.88,8.86
2017-05-22,8.79,8.59
2017-05-23,8.57,7.75
2017-05-24,7.67,7.77
2017-05-25,7.75,7.76
2017-05-26,7.72,7.83
2017-05-31,8.0,7.74
2017-06-01,7.63,7.21
2017-06-02,7.14,7.32
2017-06-05,7.4,7.38
2017-06-06,7.35,7.35
2017-06-07,7.38,7.68
2017-06-08,7.62,7.58
2017-06-09,7.5,7.55
2017-06-12,7.43,7.27
2017-06-13,7.24,7.53
2017-06-14,7.42,7.55
2017-06-15,7.49,8.31
2017-06-16,8.6,8.53
2017-06-19,8.33,8.39
2017-06-20,8.33,8.44
2017-06-21,8.41,8.21
2017-06-22,8.22,8.01
2017-06-23,7.92,7.9399999999999995
2017-06-26,7.9399999999999995,8.06
