Date,Price,Open,High,Low,Vol.,Change %
31-Jul-19,"3,835.36","3,856.74","3,856.74","3,830.09",82.15K,-0.90%
30-Jul-19,"3,870.32","3,861.57","3,890.73","3,861.57",94.12K,0.42%
29-Jul-19,"3,854.27","3,857.94","3,862.75","3,842.43",84.81K,-0.11%
26-Jul-19,"3,858.57","3,835.23","3,863.59","3,832.52",83.26K,0.19%
25-Jul-19,"3,851.07","3,821.39","3,851.07","3,812.95",93.74K,0.82%
24-Jul-19,"3,819.83","3,803.59","3,840.06","3,803.57",90.94K,0.79%
23-Jul-19,"3,789.91","3,783.54","3,792.96","3,768.76",71.31K,0.22%
22-Jul-19,"3,781.68","3,813.50","3,816.54","3,765.44",92.10K,-0.69%
19-Jul-19,"3,807.96","3,787.51","3,828.15","3,787.51",88.09K,1.05%
18-Jul-19,"3,768.40","3,793.19","3,793.39","3,768.00",87.50K,-0.95%
17-Jul-19,"3,804.64","3,800.11","3,820.27","3,787.90",95.18K,-0.06%
16-Jul-19,"3,806.84","3,819.25","3,828.33","3,799.87",80.73K,-0.45%
15-Jul-19,"3,824.19","3,792.64","3,844.87","3,745.85",101.21K,0.41%
12-Jul-19,"3,808.73","3,783.07","3,820.24","3,774.52",75.47K,0.62%
11-Jul-19,"3,785.22","3,806.19","3,830.74","3,774.41",75.31K,-0.04%
10-Jul-19,"3,786.74","3,807.95","3,810.40","3,774.23",72.83K,-0.17%
9-Jul-19,"3,793.13","3,798.10","3,811.10","3,774.76",74.84K,-0.25%
8-Jul-19,"3,802.79","3,875.75","3,875.75","3,775.03",109.54K,-2.32%
5-Jul-19,"3,893.20","3,875.37","3,900.31","3,857.93",74.01K,0.52%
4-Jul-19,"3,873.10","3,895.20","3,906.89","3,854.69",99.34K,-0.52%
3-Jul-19,"3,893.53","3,927.44","3,927.44","3,878.84",111.99K,-1.11%
2-Jul-19,"3,937.17","3,931.05","3,942.43","3,918.94",131.86K,0.03%
1-Jul-19,"3,935.81","3,899.33","3,936.67","3,886.91",158.37K,2.88%
28-Jun-19,"3,825.59","3,832.06","3,835.23","3,803.05",84.77K,-0.24%
27-Jun-19,"3,834.82","3,807.54","3,854.08","3,805.83",105.32K,1.07%
26-Jun-19,"3,794.33","3,779.51","3,809.76","3,771.72",81.82K,-0.18%
25-Jun-19,"3,801.31","3,837.43","3,838.06","3,755.01",124.08K,-1.04%
24-Jun-19,"3,841.27","3,836.31","3,853.55","3,819.77",100.09K,0.19%
21-Jun-19,"3,833.94","3,832.73","3,856.09","3,817.31",153.64K,0.14%
20-Jun-19,"3,828.52","3,718.94","3,845.79","3,717.19",168.87K,3.03%
19-Jun-19,"3,715.94","3,761.34","3,771.35","3,715.13",125.60K,1.32%
18-Jun-19,"3,667.62","3,661.13","3,675.65","3,638.78",70.69K,0.35%
17-Jun-19,"3,654.82","3,654.44","3,683.77","3,645.50",72.98K,0.00%
14-Jun-19,"3,654.88","3,690.48","3,709.65","3,650.91",101.82K,-0.83%
13-Jun-19,"3,685.39","3,689.58","3,697.59","3,654.27",96.33K,-0.15%
12-Jun-19,"3,691.10","3,706.86","3,711.88","3,683.94",119.18K,-0.76%
11-Jun-19,"3,719.28","3,617.52","3,723.14","3,617.52",143.48K,3.01%
10-Jun-19,"3,610.74","3,578.01","3,623.73","3,568.28",92.38K,1.29%
6-Jun-19,"3,564.68","3,601.04","3,601.04","3,557.02",85.53K,-0.90%
5-Jun-19,"3,597.11","3,627.79","3,634.45","3,593.95",88.64K,-0.04%
4-Jun-19,"3,598.47","3,632.56","3,636.13","3,584.46",87.10K,-0.92%
3-Jun-19,"3,632.01","3,640.61","3,672.81","3,613.13",100.72K,0.06%
31-May-19,"3,629.79","3,641.00","3,668.18","3,627.54",89.22K,-0.31%
30-May-19,"3,641.18","3,648.85","3,650.97","3,612.62",94.20K,-0.62%
29-May-19,"3,663.91","3,642.54","3,693.23","3,637.35",93.36K,-0.23%
28-May-19,"3,672.26","3,633.02","3,683.23","3,627.79",117.89K,0.96%
27-May-19,"3,637.20","3,592.60","3,648.03","3,556.26",108.83K,1.20%
24-May-19,"3,593.91","3,584.90","3,623.39","3,580.79",80.93K,0.28%
23-May-19,"3,583.96","3,629.53","3,631.47","3,578.11",99.90K,-1.79%
22-May-19,"3,649.38","3,663.15","3,679.27","3,634.75",98.35K,-0.47%
21-May-19,"3,666.78","3,619.44","3,690.09","3,610.68",111.02K,1.35%
20-May-19,"3,617.79","3,635.74","3,644.50","3,583.83",108.96K,-0.85%
17-May-19,"3,648.76","3,744.88","3,745.36","3,637.58",128.45K,-2.54%
16-May-19,"3,743.96","3,720.04","3,745.14","3,707.90",116.26K,0.45%
15-May-19,"3,727.09","3,674.99","3,741.04","3,674.99",110.16K,2.25%
14-May-19,"3,645.15","3,630.44","3,683.26","3,630.44",102.31K,-0.64%
13-May-19,"3,668.73","3,675.76","3,702.90","3,658.00",103.39K,-1.65%
10-May-19,"3,730.45","3,643.06","3,732.92","3,589.29",148.00K,3.63%
9-May-19,"3,599.70","3,637.35","3,656.90","3,584.82",101.04K,-1.85%
8-May-19,"3,667.46","3,648.55","3,722.93","3,642.50",112.87K,-1.43%
7-May-19,"3,720.67","3,702.27","3,738.18","3,671.83",132.85K,0.98%
