,CMC 5-Long-Decile 1 Lookback 1-All,CMC 5-Long-Decile 1 Lookback 1-Positive,CMC 5-Long-Decile 1 Lookback 1-Negative,CMC 5-Short-Decile 10 Lookback 10-All,CMC 5-Short-Decile 10 Lookback 10-Positive,CMC 5-Short-Decile 10 Lookback 10-Negative,BM,CMC 5-Long-Decile 1 Lookback 1-All,CMC 5-Long-Decile 1 Lookback 1-Positive,CMC 5-Long-Decile 1 Lookback 1-Negative,CMC 5-Short-Decile 10 Lookback 10-All,CMC 5-Short-Decile 10 Lookback 10-Positive,CMC 5-Short-Decile 10 Lookback 10-Negative,Equal Weight
3/9/2015,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,0.999,0.999,0.999,0.999,0.999,0.999,1
3/10/2015,0.011598396,0.010703098,0.00833209,0.007462702,0.004999473,0.008069642,0.003070707,1.010586798,1.009692395,1.007323758,1.006455239,1.003994474,1.007061572,1.003070707
3/11/2015,0.005480539,0.000687513,0.003601622,-0.005912268,-0.001983231,-0.005546567,-0.002239865,1.016125358,1.010386572,1.010951757,1.000504806,1.002003321,1.001475838,1.000823964
3/12/2015,-0.003680127,-0.007777405,0.003457435,-0.005531961,-0.001781244,-0.008996378,0.010188552,1.012385888,1.002528386,1.014447057,0.994970053,1.000218508,0.992466183,1.011020911
3/13/2015,0.00329526,-0.002160919,0.001049578,-0.004659249,-0.006660399,-0.00505548,0.009675676,1.015721962,1.000362003,1.015511799,0.990334239,0.993556654,0.98744879,1.020803222
3/16/2015,0.006421026,0.0044631,0.005241547,0.000451514,-0.000352107,0.002348187,0.026105442,1.022243939,1.004826719,1.020834651,0.990781389,0.993206816,0.989767504,1.047451741
3/17/2015,-0.014330032,-0.012863179,-0.01490638,-0.007192782,-0.006283308,-0.006009368,0.013102041,1.007595151,0.991901453,1.005617702,0.983654915,0.986966191,0.983819627,1.061175497
3/18/2015,-0.004714303,-0.002702908,-0.004974851,-0.014598895,-0.011602939,-0.011656104,0.022705085,1.002845042,0.989220435,1.000614904,0.96929464,0.975514483,0.972352123,1.085269576
3/19/2015,0.006108184,0.009418937,0.00583218,-0.008769125,-0.010697027,0.003823722,0.002306122,1.008970604,0.99853784,1.00645067,0.960794774,0.965079378,0.976070127,1.087772341
3/20/2015,0.002019322,-0.004009683,-6.58E-05,-7.08E-05,0.000234998,-0.005777415,0.008744898,1.011008041,0.994534019,1.006384409,0.960726795,0.96530617,0.970430965,1.097284799
3/23/2015,-0.005443339,-0.004215731,-0.002498947,-0.001519978,-0.001679081,0.004805811,0.02396587,1.005504781,0.990341332,1.003869507,0.959266512,0.963685342,0.975094673,1.123582184
