,CMC.5.Long.Decile.1.Lookback.1.All,CMC.5.Long.Decile.1.Lookback.1.Positive,CMC.5.Long.Decile.1.Lookback.1.Negative,CMC.5.Short.Decile.10.Lookback.10.All,CMC.5.Short.Decile.10.Lookback.10.Positive,CMC.5.Short.Decile.10.Lookback.10.Negative,CMC.1.Short.Decile.10.Lookback.8.Negative,year
Periods,1075.000,1075.000,1075.000,1075.000,1075.000,1075.000,1075.000,all
Return,0.585,0.446,0.862,0.395,0.244,0.499,0.723,all
Daily_Max,0.100,0.100,0.100,0.097,0.097,0.097,0.096,all
Daily_Min,-0.098,-0.099,-0.099,-0.085,-0.085,-0.088,-0.083,all
Annual_Return,0.115,0.091,0.159,0.082,0.053,0.101,0.138,all
Volatility,0.295,0.299,0.297,0.329,0.328,0.331,0.328,all
SemiDeviation,0.216,0.218,0.215,0.215,0.215,0.218,0.215,all
MaxDrawdown,0.398,0.402,0.373,0.439,0.439,0.446,0.424,all
Sharpe,0.390,0.306,0.534,0.250,0.162,0.304,0.419,all
Sortino,0.534,0.419,0.737,0.381,0.247,0.463,0.640,all
Calmar,0.290,0.227,0.426,0.187,0.121,0.226,0.325,all
Skewness,-0.331,-0.315,-0.256,0.712,0.727,0.689,0.714,all
, , , , , , , , 
Periods,203.000,203.000,203.000,203.000,203.000,203.000,203.000,2015
Return,0.673,0.707,0.946,-0.133,-0.134,-0.112,-0.003,2015
Daily_Max,0.100,0.100,0.100,0.097,0.097,0.097,0.096,2015
Daily_Min,-0.098,-0.099,-0.099,-0.085,-0.085,-0.088,-0.083,2015
Annual_Return,0.903,0.952,1.299,-0.163,-0.164,-0.137,-0.004,2015
Volatility,0.523,0.528,0.527,0.499,0.502,0.508,0.501,2015
SemiDeviation,0.386,0.390,0.388,0.323,0.324,0.328,0.325,2015
MaxDrawdown,0.398,0.394,0.373,0.439,0.439,0.446,0.424,2015
Sharpe,1.724,1.802,2.463,-0.327,-0.327,-0.271,-0.008,2015
Sortino,2.336,2.442,3.350,-0.505,-0.506,-0.419,-0.012,2015
Calmar,2.271,2.418,3.485,-0.372,-0.374,-0.308,-0.009,2015
Skewness,-0.257,-0.256,-0.245,0.564,0.574,0.557,0.552,2015
, , , , , , , , 
Periods,243.000,243.000,243.000,243.000,243.000,243.000,243.000,2016
Return,-0.014,-0.033,-0.055,0.202,0.174,0.201,0.297,2016
Daily_Max,0.041,0.046,0.042,0.091,0.092,0.092,0.094,2016
Daily_Min,-0.078,-0.077,-0.076,-0.051,-0.050,-0.054,-0.052,2016
Annual_Return,-0.015,-0.034,-0.057,0.212,0.183,0.211,0.312,2016
Volatility,0.248,0.253,0.245,0.315,0.313,0.316,0.315,2016
SemiDeviation,0.197,0.200,0.195,0.192,0.192,0.195,0.192,2016
MaxDrawdown,0.240,0.248,0.231,0.231,0.239,0.221,0.173,2016
Sharpe,-0.061,-0.136,-0.234,0.672,0.584,0.668,0.990,2016
Sortino,-0.076,-0.171,-0.294,1.105,0.953,1.080,1.622,2016
Calmar,-0.063,-0.138,-0.248,0.918,0.765,0.956,1.803,2016
Skewness,-1.660,-1.524,-1.629,1.294,1.267,1.199,1.292,2016
, , , , , , , , 
Periods,243.000,243.000,243.000,243.000,243.000,243.000,243.000,2017
Return,0.104,0.072,0.127,-0.046,-0.090,-0.029,-0.057,2017
Daily_Max,0.022,0.024,0.019,0.041,0.039,0.041,0.042,2017
Daily_Min,-0.026,-0.033,-0.027,-0.034,-0.032,-0.034,-0.033,2017
Annual_Return,0.109,0.075,0.133,-0.048,-0.094,-0.030,-0.060,2017
Volatility,0.108,0.110,0.107,0.184,0.182,0.184,0.188,2017
SemiDeviation,0.077,0.079,0.076,0.124,0.122,0.125,0.125,2017
MaxDrawdown,0.076,0.085,0.091,0.168,0.196,0.161,0.161,2017
Sharpe,1.008,0.684,1.248,-0.261,-0.516,-0.162,-0.320,2017
Sortino,1.418,0.954,1.757,-0.388,-0.769,-0.239,-0.481,2017
Calmar,1.433,0.889,1.465,-0.286,-0.480,-0.185,-0.372,2017
Skewness,-0.126,-0.302,-0.182,0.395,0.395,0.356,0.476,2017
, , , , , , , , 
Periods,242.000,242.000,242.000,242.000,242.000,242.000,242.000,2018
Return,-0.314,-0.335,-0.286,0.630,0.551,0.656,0.602,2018
Daily_Max,0.049,0.046,0.048,0.072,0.073,0.072,0.066,2018
Daily_Min,-0.062,-0.062,-0.064,-0.055,-0.052,-0.057,-0.055,2018
Annual_Return,-0.327,-0.348,-0.297,0.670,0.585,0.698,0.640,2018
Volatility,0.231,0.231,0.233,0.281,0.278,0.278,0.275,2018
SemiDeviation,0.169,0.169,0.170,0.189,0.188,0.188,0.186,2018
MaxDrawdown,0.351,0.369,0.329,0.115,0.112,0.115,0.109,2018
Sharpe,-1.414,-1.506,-1.276,2.388,2.104,2.506,2.330,2018
Sortino,-1.932,-2.056,-1.754,3.543,3.110,3.707,3.440,2018
Calmar,-0.931,-0.945,-0.905,5.832,5.217,6.047,5.850,2018
Skewness,-0.350,-0.368,-0.345,0.418,0.402,0.395,0.371,2018
