"","CMC.5.Long.Decile.1.Lookback.1.All","CMC.5.Long.Decile.1.Lookback.1.Positive","CMC.5.Long.Decile.1.Lookback.1.Negative","CMC.5.Short.Decile.10.Lookback.10.All","CMC.5.Short.Decile.10.Lookback.10.Positive","CMC.5.Short.Decile.10.Lookback.10.Negative","year"
"Periods","1075","1075","1075","1075","1075","1075","all"
"Return","0.472632351391539","0.328170020187061","0.564084396362218","0.473358976402273","0.202753603144742","0.220382987309866","all"
"Daily_Max","0.100130791","0.100194156","0.100166368","0.096957564","0.098799578","0.096144957","all"
"Daily_Min","-0.09913911","-0.097579169","-0.099201664","-0.084795042","-0.083559391","-0.082363089","all"
"Annual_Return","0.0960654374011527","0.0695713123557493","0.111827718388015","0.0961935815147068","0.0447225666230098","0.0483314664509931","all"
"Volatility","0.300240855745266","0.3070939860123","0.304186040433717","0.325279267634734","0.324958504133973","0.31724521969269","all"
"SemiDeviation","0.21938854731661","0.224642845941207","0.22267352826987","0.212926208818662","0.212220768004379","0.208572693236855","all"
"MaxDrawdown","0.425093086867896","0.461126697098105","0.402494083702301","0.429279662329234","0.402826606398087","0.426113024193619","all"
"Sharpe","0.319961242991718","0.226547296673412","0.367629356786289","0.295726137771331","0.137625469264752","0.152347343477109","all"
"Sortino","0.43787808696557","0.309697431334882","0.502204816427417","0.451769568661367","0.21073605115823","0.231724803956517","all"
"Calmar","0.225986825871404","0.150872445238077","0.277836924606144","0.224081385530283","0.111021878676041","0.113424053494859","all"
"Skewness","-0.335767262590154","-0.333614016923002","-0.354543841999804","0.726020316747576","0.742280459152125","0.721483779062088","all"
""," "," "," "," "," "," "," "
"Periods","203","203","203","203","203","203","2015"
"Return","0.782851963438496","0.729608276993001","0.802716270871774","-0.135653336979895","-0.136520313700452","-0.172598822699649","2015"
"Daily_Max","0.100130791","0.100194156","0.100166368","0.096957564","0.098799578","0.096144957","2015"
"Daily_Min","-0.09913911","-0.097579169","-0.099201664","-0.084795042","-0.083559391","-0.082363089","2015"
"Annual_Return","1.06012752443068","0.983511366997631","1.08885946923673","-0.166587615903891","-0.167632420249115","-0.210876152347499","2015"
"Volatility","0.522168154527937","0.531671366931799","0.527767971164753","0.496502596107519","0.499597916027475","0.483965475225223","2015"
"SemiDeviation","0.385871071442047","0.392032716168809","0.391563359042993","0.320872011664646","0.324384234150452","0.313589989342247","2015"
"MaxDrawdown","0.385135664427031","0.395445321079927","0.402494083702301","0.429279662329234","0.402826606398087","0.426113024193619","2015"
"Sharpe","2.03024162855945","1.84984828630764","2.06314048735031","-0.335522144717681","-0.33553466672166","-0.435725610900991","2015"
"Sortino","2.74736201516443","2.5087481897152","2.78080020535623","-0.519171538332852","-0.51677117011601","-0.672458176327027","2015"
"Calmar","2.75260803490593","2.48709825245055","2.70528068194436","-0.388063145130149","-0.416140387915328","-0.494883142205201","2015"
"Skewness","-0.264778745523457","-0.236162998878677","-0.28920805694369","0.58241475617274","0.55423423018676","0.59670048741357","2015"
""," "," "," "," "," "," "," "
"Periods","243","243","243","243","243","243","2016"
"Return","-0.092359085360384","-0.122519641858872","-0.0993458303143447","0.227224421552081","0.215096067131371","0.176636920431241","2016"
"Daily_Max","0.046218303","0.052162053","0.043524871","0.089859169","0.092081467","0.091420678","2016"
"Daily_Min","-0.079836283","-0.081844075","-0.077957629","-0.049671167","-0.047876132","-0.053073026","2016"
"Annual_Return","-0.0963156774797567","-0.127674768581935","-0.103584304418865","0.2386050815628","0.225815273148861","0.185296967014717","2016"
"Volatility","0.257812097557956","0.278246887616653","0.261722373164037","0.31306555967484","0.31147019704043","0.302114650276622","2016"
